Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;3.679
Todos los meses;Ambos sexos;Menores de 15 años;13
Todos los meses;Ambos sexos;De 15 a 29 años;273
Todos los meses;Ambos sexos;De 30 a 39 años;452
Todos los meses;Ambos sexos;De 40 a 44 años;344
Todos los meses;Ambos sexos;De 45 a 49 años;367
Todos los meses;Ambos sexos;De 50 a 54 años;421
Todos los meses;Ambos sexos;De 55 a 59 años;362
Todos los meses;Ambos sexos;De 60 a 64 años;251
Todos los meses;Ambos sexos;De 65 a 69 años;230
Todos los meses;Ambos sexos;De 70 a 74 años;245
Todos los meses;Ambos sexos;De 75 a 79 años;204
Todos los meses;Ambos sexos;De 80 a 84 años;259
Todos los meses;Ambos sexos;De 85 a 89 años;180
Todos los meses;Ambos sexos;De 90 a 94 años;64
Todos los meses;Ambos sexos;De 95 años y más;14
Todos los meses;Hombres;Todas las edades;2.718
Todos los meses;Hombres;Menores de 15 años;6
Todos los meses;Hombres;De 15 a 29 años;204
Todos los meses;Hombres;De 30 a 39 años;354
Todos los meses;Hombres;De 40 a 44 años;246
Todos los meses;Hombres;De 45 a 49 años;291
Todos los meses;Hombres;De 50 a 54 años;305
Todos los meses;Hombres;De 55 a 59 años;254
Todos los meses;Hombres;De 60 a 64 años;170
Todos los meses;Hombres;De 65 a 69 años;162
Todos los meses;Hombres;De 70 a 74 años;166
Todos los meses;Hombres;De 75 a 79 años;145
Todos los meses;Hombres;De 80 a 84 años;204
Todos los meses;Hombres;De 85 a 89 años;143
Todos los meses;Hombres;De 90 a 94 años;56
Todos los meses;Hombres;De 95 años y más;12
Todos los meses;Mujeres;Todas las edades;961
Todos los meses;Mujeres;Menores de 15 años;7
Todos los meses;Mujeres;De 15 a 29 años;69
Todos los meses;Mujeres;De 30 a 39 años;98
Todos los meses;Mujeres;De 40 a 44 años;98
Todos los meses;Mujeres;De 45 a 49 años;76
Todos los meses;Mujeres;De 50 a 54 años;116
Todos los meses;Mujeres;De 55 a 59 años;108
Todos los meses;Mujeres;De 60 a 64 años;81
Todos los meses;Mujeres;De 65 a 69 años;68
Todos los meses;Mujeres;De 70 a 74 años;79
Todos los meses;Mujeres;De 75 a 79 años;59
Todos los meses;Mujeres;De 80 a 84 años;55
Todos los meses;Mujeres;De 85 a 89 años;37
Todos los meses;Mujeres;De 90 a 94 años;8
Todos los meses;Mujeres;De 95 años y más;2
enero;Ambos sexos;Todas las edades;279
enero;Ambos sexos;Menores de 15 años;1
enero;Ambos sexos;De 15 a 29 años;24
enero;Ambos sexos;De 30 a 39 años;34
enero;Ambos sexos;De 40 a 44 años;22
enero;Ambos sexos;De 45 a 49 años;22
enero;Ambos sexos;De 50 a 54 años;33
enero;Ambos sexos;De 55 a 59 años;32
enero;Ambos sexos;De 60 a 64 años;22
enero;Ambos sexos;De 65 a 69 años;18
enero;Ambos sexos;De 70 a 74 años;19
enero;Ambos sexos;De 75 a 79 años;12
enero;Ambos sexos;De 80 a 84 años;17
enero;Ambos sexos;De 85 a 89 años;12
enero;Ambos sexos;De 90 a 94 años;10
enero;Ambos sexos;De 95 años y más;1
enero;Hombres;Todas las edades;198
enero;Hombres;Menores de 15 años;0
enero;Hombres;De 15 a 29 años;15
enero;Hombres;De 30 a 39 años;23
enero;Hombres;De 40 a 44 años;14
enero;Hombres;De 45 a 49 años;16
enero;Hombres;De 50 a 54 años;25
enero;Hombres;De 55 a 59 años;22
enero;Hombres;De 60 a 64 años;19
enero;Hombres;De 65 a 69 años;12
enero;Hombres;De 70 a 74 años;14
enero;Hombres;De 75 a 79 años;7
enero;Hombres;De 80 a 84 años;13
enero;Hombres;De 85 a 89 años;8
enero;Hombres;De 90 a 94 años;9
enero;Hombres;De 95 años y más;1
enero;Mujeres;Todas las edades;81
enero;Mujeres;Menores de 15 años;1
enero;Mujeres;De 15 a 29 años;9
enero;Mujeres;De 30 a 39 años;11
enero;Mujeres;De 40 a 44 años;8
enero;Mujeres;De 45 a 49 años;6
enero;Mujeres;De 50 a 54 años;8
enero;Mujeres;De 55 a 59 años;10
enero;Mujeres;De 60 a 64 años;3
enero;Mujeres;De 65 a 69 años;6
enero;Mujeres;De 70 a 74 años;5
enero;Mujeres;De 75 a 79 años;5
enero;Mujeres;De 80 a 84 años;4
enero;Mujeres;De 85 a 89 años;4
enero;Mujeres;De 90 a 94 años;1
enero;Mujeres;De 95 años y más;0
febrero;Ambos sexos;Todas las edades;297
febrero;Ambos sexos;Menores de 15 años;2
febrero;Ambos sexos;De 15 a 29 años;26
febrero;Ambos sexos;De 30 a 39 años;24
febrero;Ambos sexos;De 40 a 44 años;37
febrero;Ambos sexos;De 45 a 49 años;27
febrero;Ambos sexos;De 50 a 54 años;28
febrero;Ambos sexos;De 55 a 59 años;38
febrero;Ambos sexos;De 60 a 64 años;18
febrero;Ambos sexos;De 65 a 69 años;20
febrero;Ambos sexos;De 70 a 74 años;16
febrero;Ambos sexos;De 75 a 79 años;16
febrero;Ambos sexos;De 80 a 84 años;25
febrero;Ambos sexos;De 85 a 89 años;18
febrero;Ambos sexos;De 90 a 94 años;0
febrero;Ambos sexos;De 95 años y más;2
febrero;Hombres;Todas las edades;215
febrero;Hombres;Menores de 15 años;2
febrero;Hombres;De 15 a 29 años;21
febrero;Hombres;De 30 a 39 años;17
febrero;Hombres;De 40 a 44 años;23
febrero;Hombres;De 45 a 49 años;21
febrero;Hombres;De 50 a 54 años;22
febrero;Hombres;De 55 a 59 años;26
febrero;Hombres;De 60 a 64 años;13
febrero;Hombres;De 65 a 69 años;16
febrero;Hombres;De 70 a 74 años;10
febrero;Hombres;De 75 a 79 años;10
febrero;Hombres;De 80 a 84 años;19
febrero;Hombres;De 85 a 89 años;13
febrero;Hombres;De 90 a 94 años;0
febrero;Hombres;De 95 años y más;2
febrero;Mujeres;Todas las edades;82
febrero;Mujeres;Menores de 15 años;0
febrero;Mujeres;De 15 a 29 años;5
febrero;Mujeres;De 30 a 39 años;7
febrero;Mujeres;De 40 a 44 años;14
febrero;Mujeres;De 45 a 49 años;6
febrero;Mujeres;De 50 a 54 años;6
febrero;Mujeres;De 55 a 59 años;12
febrero;Mujeres;De 60 a 64 años;5
febrero;Mujeres;De 65 a 69 años;4
febrero;Mujeres;De 70 a 74 años;6
febrero;Mujeres;De 75 a 79 años;6
febrero;Mujeres;De 80 a 84 años;6
febrero;Mujeres;De 85 a 89 años;5
febrero;Mujeres;De 90 a 94 años;0
febrero;Mujeres;De 95 años y más;0
marzo;Ambos sexos;Todas las edades;310
marzo;Ambos sexos;Menores de 15 años;3
marzo;Ambos sexos;De 15 a 29 años;18
marzo;Ambos sexos;De 30 a 39 años;41
marzo;Ambos sexos;De 40 a 44 años;26
marzo;Ambos sexos;De 45 a 49 años;30
marzo;Ambos sexos;De 50 a 54 años;45
marzo;Ambos sexos;De 55 a 59 años;24
marzo;Ambos sexos;De 60 a 64 años;25
marzo;Ambos sexos;De 65 a 69 años;21
marzo;Ambos sexos;De 70 a 74 años;17
marzo;Ambos sexos;De 75 a 79 años;18
marzo;Ambos sexos;De 80 a 84 años;25
marzo;Ambos sexos;De 85 a 89 años;12
marzo;Ambos sexos;De 90 a 94 años;3
marzo;Ambos sexos;De 95 años y más;2
marzo;Hombres;Todas las edades;228
marzo;Hombres;Menores de 15 años;0
marzo;Hombres;De 15 a 29 años;13
marzo;Hombres;De 30 a 39 años;32
marzo;Hombres;De 40 a 44 años;20
marzo;Hombres;De 45 a 49 años;25
marzo;Hombres;De 50 a 54 años;33
marzo;Hombres;De 55 a 59 años;14
marzo;Hombres;De 60 a 64 años;15
marzo;Hombres;De 65 a 69 años;14
marzo;Hombres;De 70 a 74 años;15
marzo;Hombres;De 75 a 79 años;12
marzo;Hombres;De 80 a 84 años;22
marzo;Hombres;De 85 a 89 años;10
marzo;Hombres;De 90 a 94 años;1
marzo;Hombres;De 95 años y más;2
marzo;Mujeres;Todas las edades;82
marzo;Mujeres;Menores de 15 años;3
marzo;Mujeres;De 15 a 29 años;5
marzo;Mujeres;De 30 a 39 años;9
marzo;Mujeres;De 40 a 44 años;6
marzo;Mujeres;De 45 a 49 años;5
marzo;Mujeres;De 50 a 54 años;12
marzo;Mujeres;De 55 a 59 años;10
marzo;Mujeres;De 60 a 64 años;10
marzo;Mujeres;De 65 a 69 años;7
marzo;Mujeres;De 70 a 74 años;2
marzo;Mujeres;De 75 a 79 años;6
marzo;Mujeres;De 80 a 84 años;3
marzo;Mujeres;De 85 a 89 años;2
marzo;Mujeres;De 90 a 94 años;2
marzo;Mujeres;De 95 años y más;0
abril;Ambos sexos;Todas las edades;300
abril;Ambos sexos;Menores de 15 años;1
abril;Ambos sexos;De 15 a 29 años;17
abril;Ambos sexos;De 30 a 39 años;34
abril;Ambos sexos;De 40 a 44 años;38
abril;Ambos sexos;De 45 a 49 años;39
abril;Ambos sexos;De 50 a 54 años;27
abril;Ambos sexos;De 55 a 59 años;20
abril;Ambos sexos;De 60 a 64 años;20
abril;Ambos sexos;De 65 a 69 años;13
abril;Ambos sexos;De 70 a 74 años;24
abril;Ambos sexos;De 75 a 79 años;23
abril;Ambos sexos;De 80 a 84 años;26
abril;Ambos sexos;De 85 a 89 años;15
abril;Ambos sexos;De 90 a 94 años;3
abril;Ambos sexos;De 95 años y más;0
abril;Hombres;Todas las edades;212
abril;Hombres;Menores de 15 años;0
abril;Hombres;De 15 a 29 años;12
abril;Hombres;De 30 a 39 años;24
abril;Hombres;De 40 a 44 años;25
abril;Hombres;De 45 a 49 años;36
abril;Hombres;De 50 a 54 años;18
abril;Hombres;De 55 a 59 años;12
abril;Hombres;De 60 a 64 años;12
abril;Hombres;De 65 a 69 años;7
abril;Hombres;De 70 a 74 años;16
abril;Hombres;De 75 a 79 años;17
abril;Hombres;De 80 a 84 años;20
abril;Hombres;De 85 a 89 años;10
abril;Hombres;De 90 a 94 años;3
abril;Hombres;De 95 años y más;0
abril;Mujeres;Todas las edades;88
abril;Mujeres;Menores de 15 años;1
abril;Mujeres;De 15 a 29 años;5
abril;Mujeres;De 30 a 39 años;10
abril;Mujeres;De 40 a 44 años;13
abril;Mujeres;De 45 a 49 años;3
abril;Mujeres;De 50 a 54 años;9
abril;Mujeres;De 55 a 59 años;8
abril;Mujeres;De 60 a 64 años;8
abril;Mujeres;De 65 a 69 años;6
abril;Mujeres;De 70 a 74 años;8
abril;Mujeres;De 75 a 79 años;6
abril;Mujeres;De 80 a 84 años;6
abril;Mujeres;De 85 a 89 años;5
abril;Mujeres;De 90 a 94 años;0
abril;Mujeres;De 95 años y más;0
mayo;Ambos sexos;Todas las edades;319
mayo;Ambos sexos;Menores de 15 años;1
mayo;Ambos sexos;De 15 a 29 años;20
mayo;Ambos sexos;De 30 a 39 años;39
mayo;Ambos sexos;De 40 a 44 años;24
mayo;Ambos sexos;De 45 a 49 años;40
mayo;Ambos sexos;De 50 a 54 años;44
mayo;Ambos sexos;De 55 a 59 años;31
mayo;Ambos sexos;De 60 a 64 años;25
mayo;Ambos sexos;De 65 a 69 años;19
mayo;Ambos sexos;De 70 a 74 años;17
mayo;Ambos sexos;De 75 a 79 años;18
mayo;Ambos sexos;De 80 a 84 años;24
mayo;Ambos sexos;De 85 a 89 años;11
mayo;Ambos sexos;De 90 a 94 años;4
mayo;Ambos sexos;De 95 años y más;2
mayo;Hombres;Todas las edades;235
mayo;Hombres;Menores de 15 años;1
mayo;Hombres;De 15 a 29 años;15
mayo;Hombres;De 30 a 39 años;31
mayo;Hombres;De 40 a 44 años;16
mayo;Hombres;De 45 a 49 años;33
mayo;Hombres;De 50 a 54 años;36
mayo;Hombres;De 55 a 59 años;18
mayo;Hombres;De 60 a 64 años;15
mayo;Hombres;De 65 a 69 años;14
