Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;4.003
Todos los meses;Ambos sexos;Menores de 15 años;22
Todos los meses;Ambos sexos;De 15 a 29 años;316
Todos los meses;Ambos sexos;De 30 a 39 años;414
Todos los meses;Ambos sexos;De 40 a 44 años;355
Todos los meses;Ambos sexos;De 45 a 49 años;438
Todos los meses;Ambos sexos;De 50 a 54 años;460
Todos los meses;Ambos sexos;De 55 a 59 años;407
Todos los meses;Ambos sexos;De 60 a 64 años;356
Todos los meses;Ambos sexos;De 65 a 69 años;236
Todos los meses;Ambos sexos;De 70 a 74 años;218
Todos los meses;Ambos sexos;De 75 a 79 años;262
Todos los meses;Ambos sexos;De 80 a 84 años;227
Todos los meses;Ambos sexos;De 85 a 89 años;182
Todos los meses;Ambos sexos;De 90 a 94 años;89
Todos los meses;Ambos sexos;De 95 años y más;21
Todos los meses;Hombres;Todas las edades;2.982
Todos los meses;Hombres;Menores de 15 años;14
Todos los meses;Hombres;De 15 a 29 años;237
Todos los meses;Hombres;De 30 a 39 años;315
Todos los meses;Hombres;De 40 a 44 años;281
Todos los meses;Hombres;De 45 a 49 años;318
Todos los meses;Hombres;De 50 a 54 años;323
Todos los meses;Hombres;De 55 a 59 años;305
Todos los meses;Hombres;De 60 a 64 años;268
Todos los meses;Hombres;De 65 a 69 años;161
Todos los meses;Hombres;De 70 a 74 años;162
Todos los meses;Hombres;De 75 a 79 años;197
Todos los meses;Hombres;De 80 a 84 años;168
Todos los meses;Hombres;De 85 a 89 años;141
Todos los meses;Hombres;De 90 a 94 años;74
Todos los meses;Hombres;De 95 años y más;18
Todos los meses;Mujeres;Todas las edades;1.021
Todos los meses;Mujeres;Menores de 15 años;8
Todos los meses;Mujeres;De 15 a 29 años;79
Todos los meses;Mujeres;De 30 a 39 años;99
Todos los meses;Mujeres;De 40 a 44 años;74
Todos los meses;Mujeres;De 45 a 49 años;120
Todos los meses;Mujeres;De 50 a 54 años;137
Todos los meses;Mujeres;De 55 a 59 años;102
Todos los meses;Mujeres;De 60 a 64 años;88
Todos los meses;Mujeres;De 65 a 69 años;75
Todos los meses;Mujeres;De 70 a 74 años;56
Todos los meses;Mujeres;De 75 a 79 años;65
Todos los meses;Mujeres;De 80 a 84 años;59
Todos los meses;Mujeres;De 85 a 89 años;41
