Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;3.941
Todos los meses;Ambos sexos;Menores de 15 años;14
Todos los meses;Ambos sexos;De 15 a 29 años;300
Todos los meses;Ambos sexos;De 30 a 39 años;411
Todos los meses;Ambos sexos;De 40 a 44 años;358
Todos los meses;Ambos sexos;De 45 a 49 años;396
Todos los meses;Ambos sexos;De 50 a 54 años;440
Todos los meses;Ambos sexos;De 55 a 59 años;414
Todos los meses;Ambos sexos;De 60 a 64 años;327
Todos los meses;Ambos sexos;De 65 a 69 años;245
Todos los meses;Ambos sexos;De 70 a 74 años;264
Todos los meses;Ambos sexos;De 75 a 79 años;224
Todos los meses;Ambos sexos;De 80 a 84 años;240
Todos los meses;Ambos sexos;De 85 a 89 años;185
Todos los meses;Ambos sexos;De 90 a 94 años;98
Todos los meses;Ambos sexos;De 95 años y más;25
Todos los meses;Hombres;Todas las edades;2.930
Todos los meses;Hombres;Menores de 15 años;7
Todos los meses;Hombres;De 15 a 29 años;227
Todos los meses;Hombres;De 30 a 39 años;313
Todos los meses;Hombres;De 40 a 44 años;275
Todos los meses;Hombres;De 45 a 49 años;301
Todos los meses;Hombres;De 50 a 54 años;323
Todos los meses;Hombres;De 55 a 59 años;277
Todos los meses;Hombres;De 60 a 64 años;239
Todos los meses;Hombres;De 65 a 69 años;186
Todos los meses;Hombres;De 70 a 74 años;192
Todos los meses;Hombres;De 75 a 79 años;162
Todos los meses;Hombres;De 80 a 84 años;184
Todos los meses;Hombres;De 85 a 89 años;146
Todos los meses;Hombres;De 90 a 94 años;77
Todos los meses;Hombres;De 95 años y más;21
Todos los meses;Mujeres;Todas las edades;1.011
Todos los meses;Mujeres;Menores de 15 años;7
Todos los meses;Mujeres;De 15 a 29 años;73
Todos los meses;Mujeres;De 30 a 39 años;98
Todos los meses;Mujeres;De 40 a 44 años;83
Todos los meses;Mujeres;De 45 a 49 años;95
Todos los meses;Mujeres;De 50 a 54 años;117
Todos los meses;Mujeres;De 55 a 59 años;137
Todos los meses;Mujeres;De 60 a 64 años;88
Todos los meses;Mujeres;De 65 a 69 años;59
Todos los meses;Mujeres;De 70 a 74 años;72
Todos los meses;Mujeres;De 75 a 79 años;62
Todos los meses;Mujeres;De 80 a 84 años;56
Todos los meses;Mujeres;De 85 a 89 años;39
Todos los meses;Mujeres;De 90 a 94 años;21
Todos los meses;Mujeres;De 95 años y más;4
enero;Ambos sexos;Todas las edades;341
enero;Ambos sexos;Menores de 15 años;1
enero;Ambos sexos;De 15 a 29 años;33
enero;Ambos sexos;De 30 a 39 años;34
enero;Ambos sexos;De 40 a 44 años;30
enero;Ambos sexos;De 45 a 49 años;33
enero;Ambos sexos;De 50 a 54 años;48
enero;Ambos sexos;De 55 a 59 años;41
enero;Ambos sexos;De 60 a 64 años;21
enero;Ambos sexos;De 65 a 69 años;31
enero;Ambos sexos;De 70 a 74 años;20
enero;Ambos sexos;De 75 a 79 años;14
enero;Ambos sexos;De 80 a 84 años;15
enero;Ambos sexos;De 85 a 89 años;14
enero;Ambos sexos;De 90 a 94 años;4
enero;Ambos sexos;De 95 años y más;2
enero;Hombres;Todas las edades;249
enero;Hombres;Menores de 15 años;0
enero;Hombres;De 15 a 29 años;26
enero;Hombres;De 30 a 39 años;24
enero;Hombres;De 40 a 44 años;22
enero;Hombres;De 45 a 49 años;30
enero;Hombres;De 50 a 54 años;31
enero;Hombres;De 55 a 59 años;28
enero;Hombres;De 60 a 64 años;17
enero;Hombres;De 65 a 69 años;22
enero;Hombres;De 70 a 74 años;15
enero;Hombres;De 75 a 79 años;6
enero;Hombres;De 80 a 84 años;14
enero;Hombres;De 85 a 89 años;9
enero;Hombres;De 90 a 94 años;3
enero;Hombres;De 95 años y más;2
enero;Mujeres;Todas las edades;92
enero;Mujeres;Menores de 15 años;1
enero;Mujeres;De 15 a 29 años;7
enero;Mujeres;De 30 a 39 años;10
enero;Mujeres;De 40 a 44 años;8
enero;Mujeres;De 45 a 49 años;3
enero;Mujeres;De 50 a 54 años;17
enero;Mujeres;De 55 a 59 años;13
enero;Mujeres;De 60 a 64 años;4
enero;Mujeres;De 65 a 69 años;9
enero;Mujeres;De 70 a 74 años;5
enero;Mujeres;De 75 a 79 años;8
enero;Mujeres;De 80 a 84 años;1
enero;Mujeres;De 85 a 89 años;5
enero;Mujeres;De 90 a 94 años;1
enero;Mujeres;De 95 años y más;0
febrero;Ambos sexos;Todas las edades;323
febrero;Ambos sexos;Menores de 15 años;1
febrero;Ambos sexos;De 15 a 29 años;26
febrero;Ambos sexos;De 30 a 39 años;21
febrero;Ambos sexos;De 40 a 44 años;30
febrero;Ambos sexos;De 45 a 49 años;36
febrero;Ambos sexos;De 50 a 54 años;29
febrero;Ambos sexos;De 55 a 59 años;50
febrero;Ambos sexos;De 60 a 64 años;27
febrero;Ambos sexos;De 65 a 69 años;24
febrero;Ambos sexos;De 70 a 74 años;19
febrero;Ambos sexos;De 75 a 79 años;15
febrero;Ambos sexos;De 80 a 84 años;22
febrero;Ambos sexos;De 85 a 89 años;9
febrero;Ambos sexos;De 90 a 94 años;12
febrero;Ambos sexos;De 95 años y más;2
febrero;Hombres;Todas las edades;229
febrero;Hombres;Menores de 15 años;1
febrero;Hombres;De 15 a 29 años;16
febrero;Hombres;De 30 a 39 años;16
febrero;Hombres;De 40 a 44 años;25
febrero;Hombres;De 45 a 49 años;25
febrero;Hombres;De 50 a 54 años;22
febrero;Hombres;De 55 a 59 años;28
febrero;Hombres;De 60 a 64 años;17
febrero;Hombres;De 65 a 69 años;21
febrero;Hombres;De 70 a 74 años;14
febrero;Hombres;De 75 a 79 años;9
febrero;Hombres;De 80 a 84 años;17
febrero;Hombres;De 85 a 89 años;7
febrero;Hombres;De 90 a 94 años;9
febrero;Hombres;De 95 años y más;2
febrero;Mujeres;Todas las edades;94
febrero;Mujeres;Menores de 15 años;0
febrero;Mujeres;De 15 a 29 años;10
febrero;Mujeres;De 30 a 39 años;5
febrero;Mujeres;De 40 a 44 años;5
febrero;Mujeres;De 45 a 49 años;11
febrero;Mujeres;De 50 a 54 años;7
febrero;Mujeres;De 55 a 59 años;22
febrero;Mujeres;De 60 a 64 años;10
febrero;Mujeres;De 65 a 69 años;3
febrero;Mujeres;De 70 a 74 años;5
febrero;Mujeres;De 75 a 79 años;6
febrero;Mujeres;De 80 a 84 años;5
febrero;Mujeres;De 85 a 89 años;2
febrero;Mujeres;De 90 a 94 años;3
febrero;Mujeres;De 95 años y más;0
marzo;Ambos sexos;Todas las edades;297
marzo;Ambos sexos;Menores de 15 años;0
marzo;Ambos sexos;De 15 a 29 años;24
marzo;Ambos sexos;De 30 a 39 años;32
marzo;Ambos sexos;De 40 a 44 años;25
marzo;Ambos sexos;De 45 a 49 años;34
marzo;Ambos sexos;De 50 a 54 años;36
marzo;Ambos sexos;De 55 a 59 años;31
marzo;Ambos sexos;De 60 a 64 años;28
marzo;Ambos sexos;De 65 a 69 años;11
marzo;Ambos sexos;De 70 a 74 años;22
marzo;Ambos sexos;De 75 a 79 años;12
marzo;Ambos sexos;De 80 a 84 años;19
marzo;Ambos sexos;De 85 a 89 años;16
marzo;Ambos sexos;De 90 a 94 años;7
marzo;Ambos sexos;De 95 años y más;0
marzo;Hombres;Todas las edades;214
marzo;Hombres;Menores de 15 años;0
marzo;Hombres;De 15 a 29 años;14
marzo;Hombres;De 30 a 39 años;22
marzo;Hombres;De 40 a 44 años;22
marzo;Hombres;De 45 a 49 años;27
marzo;Hombres;De 50 a 54 años;28
marzo;Hombres;De 55 a 59 años;18
marzo;Hombres;De 60 a 64 años;19
marzo;Hombres;De 65 a 69 años;6
marzo;Hombres;De 70 a 74 años;15
marzo;Hombres;De 75 a 79 años;9
marzo;Hombres;De 80 a 84 años;15
marzo;Hombres;De 85 a 89 años;12
marzo;Hombres;De 90 a 94 años;7
marzo;Hombres;De 95 años y más;0
marzo;Mujeres;Todas las edades;83
marzo;Mujeres;Menores de 15 años;0
marzo;Mujeres;De 15 a 29 años;10
marzo;Mujeres;De 30 a 39 años;10
marzo;Mujeres;De 40 a 44 años;3
marzo;Mujeres;De 45 a 49 años;7
marzo;Mujeres;De 50 a 54 años;8
marzo;Mujeres;De 55 a 59 años;13
marzo;Mujeres;De 60 a 64 años;9
marzo;Mujeres;De 65 a 69 años;5
marzo;Mujeres;De 70 a 74 años;7
marzo;Mujeres;De 75 a 79 años;3
marzo;Mujeres;De 80 a 84 años;4
marzo;Mujeres;De 85 a 89 años;4
marzo;Mujeres;De 90 a 94 años;0
marzo;Mujeres;De 95 años y más;0
abril;Ambos sexos;Todas las edades;247
abril;Ambos sexos;Menores de 15 años;1
abril;Ambos sexos;De 15 a 29 años;18
abril;Ambos sexos;De 30 a 39 años;28
abril;Ambos sexos;De 40 a 44 años;18
abril;Ambos sexos;De 45 a 49 años;24
abril;Ambos sexos;De 50 a 54 años;25
abril;Ambos sexos;De 55 a 59 años;27
abril;Ambos sexos;De 60 a 64 años;23
abril;Ambos sexos;De 65 a 69 años;13
abril;Ambos sexos;De 70 a 74 años;20
abril;Ambos sexos;De 75 a 79 años;10
abril;Ambos sexos;De 80 a 84 años;15
abril;Ambos sexos;De 85 a 89 años;14
abril;Ambos sexos;De 90 a 94 años;9
abril;Ambos sexos;De 95 años y más;2
abril;Hombres;Todas las edades;190
abril;Hombres;Menores de 15 años;0
abril;Hombres;De 15 a 29 años;13
abril;Hombres;De 30 a 39 años;23
abril;Hombres;De 40 a 44 años;14
