Edad;Nacionalidad;Sexo;Total
De 70 a 74 años;Extranjera;Ambos sexos;13
De 70 a 74 años;Extranjera;Hombres;9
De 70 a 74 años;Extranjera;Mujeres;4
De 70 a 74 años;No consta;Ambos sexos;0
De 70 a 74 años;No consta;Hombres;0
De 70 a 74 años;No consta;Mujeres;0
De 75 a 79 años;Total;Ambos sexos;247
De 75 a 79 años;Total;Hombres;178
De 75 a 79 años;Total;Mujeres;69
De 75 a 79 años;Española;Ambos sexos;238
De 75 a 79 años;Española;Hombres;172
De 75 a 79 años;Española;Mujeres;66
De 75 a 79 años;Extranjera;Ambos sexos;9
De 75 a 79 años;Extranjera;Hombres;6
De 75 a 79 años;Extranjera;Mujeres;3
De 75 a 79 años;No consta;Ambos sexos;0
De 75 a 79 años;No consta;Hombres;0
De 75 a 79 años;No consta;Mujeres;0
De 80 a 84 años;Total;Ambos sexos;255
De 80 a 84 años;Total;Hombres;205
De 80 a 84 años;Total;Mujeres;50
De 80 a 84 años;Española;Ambos sexos;249
De 80 a 84 años;Española;Hombres;200
De 80 a 84 años;Española;Mujeres;49
De 80 a 84 años;Extranjera;Ambos sexos;6
De 80 a 84 años;Extranjera;Hombres;5
De 80 a 84 años;Extranjera;Mujeres;1
De 80 a 84 años;No consta;Ambos sexos;0
De 80 a 84 años;No consta;Hombres;0
De 80 a 84 años;No consta;Mujeres;0
De 85 a 89 años;Total;Ambos sexos;161
De 85 a 89 años;Total;Hombres;131
De 85 a 89 años;Total;Mujeres;30
De 85 a 89 años;Española;Ambos sexos;160
De 85 a 89 años;Española;Hombres;131
De 85 a 89 años;Española;Mujeres;29
De 85 a 89 años;Extranjera;Ambos sexos;1
De 85 a 89 años;Extranjera;Hombres;0
De 85 a 89 años;Extranjera;Mujeres;1
De 85 a 89 años;No consta;Ambos sexos;0
De 85 a 89 años;No consta;Hombres;0
De 85 a 89 años;No consta;Mujeres;0
De 90 a 94 años;Total;Ambos sexos;64
De 90 a 94 años;Total;Hombres;50
De 90 a 94 años;Total;Mujeres;14
De 90 a 94 años;Española;Ambos sexos;63
De 90 a 94 años;Española;Hombres;49
De 90 a 94 años;Española;Mujeres;14
De 90 a 94 años;Extranjera;Ambos sexos;1
De 90 a 94 años;Extranjera;Hombres;1
De 90 a 94 años;Extranjera;Mujeres;0
De 90 a 94 años;No consta;Ambos sexos;0
De 90 a 94 años;No consta;Hombres;0
De 90 a 94 años;No consta;Mujeres;0
De 95 años y más;Total;Ambos sexos;13
De 95 años y más;Total;Hombres;9
De 95 años y más;Total;Mujeres;4
De 95 años y más;Española;Ambos sexos;13
De 95 años y más;Española;Hombres;9
De 95 años y más;Española;Mujeres;4
De 95 años y más;Extranjera;Ambos sexos;0
De 95 años y más;Extranjera;Hombres;0
De 95 años y más;Extranjera;Mujeres;0
De 95 años y más;No consta;Ambos sexos;0
De 95 años y más;No consta;Hombres;0
De 95 años y más;No consta;Mujeres;0
