Mes de defunción;Sexo;Edad;Total
febrero;Mujeres;De 80 a 84 años;1
febrero;Mujeres;De 85 a 89 años;4
febrero;Mujeres;De 90 a 94 años;0
febrero;Mujeres;De 95 años y más;0
marzo;Ambos sexos;Todas las edades;288
marzo;Ambos sexos;Menores de 15 años;0
marzo;Ambos sexos;De 15 a 29 años;19
marzo;Ambos sexos;De 30 a 39 años;35
marzo;Ambos sexos;De 40 a 44 años;23
marzo;Ambos sexos;De 45 a 49 años;34
marzo;Ambos sexos;De 50 a 54 años;35
marzo;Ambos sexos;De 55 a 59 años;27
marzo;Ambos sexos;De 60 a 64 años;28
marzo;Ambos sexos;De 65 a 69 años;13
marzo;Ambos sexos;De 70 a 74 años;17
marzo;Ambos sexos;De 75 a 79 años;17
marzo;Ambos sexos;De 80 a 84 años;15
marzo;Ambos sexos;De 85 a 89 años;15
marzo;Ambos sexos;De 90 a 94 años;9
marzo;Ambos sexos;De 95 años y más;1
marzo;Hombres;Todas las edades;205
marzo;Hombres;Menores de 15 años;0
marzo;Hombres;De 15 a 29 años;15
marzo;Hombres;De 30 a 39 años;27
marzo;Hombres;De 40 a 44 años;16
marzo;Hombres;De 45 a 49 años;26
marzo;Hombres;De 50 a 54 años;22
marzo;Hombres;De 55 a 59 años;21
marzo;Hombres;De 60 a 64 años;19
marzo;Hombres;De 65 a 69 años;9
marzo;Hombres;De 70 a 74 años;11
marzo;Hombres;De 75 a 79 años;9
marzo;Hombres;De 80 a 84 años;11
marzo;Hombres;De 85 a 89 años;12
marzo;Hombres;De 90 a 94 años;6
marzo;Hombres;De 95 años y más;1
marzo;Mujeres;Todas las edades;83
marzo;Mujeres;Menores de 15 años;0
marzo;Mujeres;De 15 a 29 años;4
marzo;Mujeres;De 30 a 39 años;8
marzo;Mujeres;De 40 a 44 años;7
marzo;Mujeres;De 45 a 49 años;8
marzo;Mujeres;De 50 a 54 años;13
marzo;Mujeres;De 55 a 59 años;6
marzo;Mujeres;De 60 a 64 años;9
marzo;Mujeres;De 65 a 69 años;4
marzo;Mujeres;De 70 a 74 años;6
marzo;Mujeres;De 75 a 79 años;8
marzo;Mujeres;De 80 a 84 años;4
marzo;Mujeres;De 85 a 89 años;3
marzo;Mujeres;De 90 a 94 años;3
marzo;Mujeres;De 95 años y más;0
abril;Ambos sexos;Todas las edades;302
abril;Ambos sexos;Menores de 15 años;1
abril;Ambos sexos;De 15 a 29 años;31
abril;Ambos sexos;De 30 a 39 años;32
abril;Ambos sexos;De 40 a 44 años;27
abril;Ambos sexos;De 45 a 49 años;34
abril;Ambos sexos;De 50 a 54 años;44
abril;Ambos sexos;De 55 a 59 años;22
abril;Ambos sexos;De 60 a 64 años;20
abril;Ambos sexos;De 65 a 69 años;18
abril;Ambos sexos;De 70 a 74 años;25
abril;Ambos sexos;De 75 a 79 años;16
abril;Ambos sexos;De 80 a 84 años;15
abril;Ambos sexos;De 85 a 89 años;10
abril;Ambos sexos;De 90 a 94 años;4
abril;Ambos sexos;De 95 años y más;3
abril;Hombres;Todas las edades;240
abril;Hombres;Menores de 15 años;0
abril;Hombres;De 15 a 29 años;25
abril;Hombres;De 30 a 39 años;22
abril;Hombres;De 40 a 44 años;23
abril;Hombres;De 45 a 49 años;28
abril;Hombres;De 50 a 54 años;36
abril;Hombres;De 55 a 59 años;16
abril;Hombres;De 60 a 64 años;15
abril;Hombres;De 65 a 69 años;15
abril;Hombres;De 70 a 74 años;23
abril;Hombres;De 75 a 79 años;11
abril;Hombres;De 80 a 84 años;11
abril;Hombres;De 85 a 89 años;9
abril;Hombres;De 90 a 94 años;3
abril;Hombres;De 95 años y más;3
abril;Mujeres;Todas las edades;62
abril;Mujeres;Menores de 15 años;1
abril;Mujeres;De 15 a 29 años;6
abril;Mujeres;De 30 a 39 años;10
abril;Mujeres;De 40 a 44 años;4
abril;Mujeres;De 45 a 49 años;6
abril;Mujeres;De 50 a 54 años;8
abril;Mujeres;De 55 a 59 años;6
abril;Mujeres;De 60 a 64 años;5
abril;Mujeres;De 65 a 69 años;3
abril;Mujeres;De 70 a 74 años;2
abril;Mujeres;De 75 a 79 años;5
abril;Mujeres;De 80 a 84 años;4
abril;Mujeres;De 85 a 89 años;1
abril;Mujeres;De 90 a 94 años;1
abril;Mujeres;De 95 años y más;0
mayo;Ambos sexos;Todas las edades;336
mayo;Ambos sexos;Menores de 15 años;1
mayo;Ambos sexos;De 15 a 29 años;25
mayo;Ambos sexos;De 30 a 39 años;32
