Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;;Ambos sexos;Todas las edades;3.679
Total Nacional;;Ambos sexos;Menores de 15 años;13
Total Nacional;;Ambos sexos;De 15 a 29 años;273
Total Nacional;;Ambos sexos;De 30 a 39 años;452
Total Nacional;;Ambos sexos;De 40 a 44 años;344
Total Nacional;;Ambos sexos;De 45 a 49 años;367
Total Nacional;;Ambos sexos;De 50 a 54 años;421
Total Nacional;;Ambos sexos;De 55 a 59 años;362
Total Nacional;;Ambos sexos;De 60 a 64 años;251
Total Nacional;;Ambos sexos;De 65 a 69 años;230
Total Nacional;;Ambos sexos;De 70 a 74 años;245
Total Nacional;;Ambos sexos;De 75 a 79 años;204
Total Nacional;;Ambos sexos;De 80 a 84 años;259
Total Nacional;;Ambos sexos;De 85 a 89 años;180
Total Nacional;;Ambos sexos;De 90 a 94 años;64
Total Nacional;;Ambos sexos;De 95 años y más;14
Total Nacional;;Hombres;Todas las edades;2.718
Total Nacional;;Hombres;Menores de 15 años;6
Total Nacional;;Hombres;De 15 a 29 años;204
Total Nacional;;Hombres;De 30 a 39 años;354
Total Nacional;;Hombres;De 40 a 44 años;246
Total Nacional;;Hombres;De 45 a 49 años;291
Total Nacional;;Hombres;De 50 a 54 años;305
Total Nacional;;Hombres;De 55 a 59 años;254
Total Nacional;;Hombres;De 60 a 64 años;170
Total Nacional;;Hombres;De 65 a 69 años;162
Total Nacional;;Hombres;De 70 a 74 años;166
Total Nacional;;Hombres;De 75 a 79 años;145
Total Nacional;;Hombres;De 80 a 84 años;204
Total Nacional;;Hombres;De 85 a 89 años;143
Total Nacional;;Hombres;De 90 a 94 años;56
Total Nacional;;Hombres;De 95 años y más;12
Total Nacional;;Mujeres;Todas las edades;961
Total Nacional;;Mujeres;Menores de 15 años;7
Total Nacional;;Mujeres;De 15 a 29 años;69
Total Nacional;;Mujeres;De 30 a 39 años;98
Total Nacional;;Mujeres;De 40 a 44 años;98
Total Nacional;;Mujeres;De 45 a 49 años;76
Total Nacional;;Mujeres;De 50 a 54 años;116
Total Nacional;;Mujeres;De 55 a 59 años;108
Total Nacional;;Mujeres;De 60 a 64 años;81
Total Nacional;;Mujeres;De 65 a 69 años;68
Total Nacional;;Mujeres;De 70 a 74 años;79
Total Nacional;;Mujeres;De 75 a 79 años;59
