Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;4.003
Todas las edades;Total;Hombres;2.982
Todas las edades;Total;Mujeres;1.021
Todas las edades;Española;Ambos sexos;3.616
Todas las edades;Española;Hombres;2.696
Todas las edades;Española;Mujeres;920
Todas las edades;Extranjera;Ambos sexos;387
Todas las edades;Extranjera;Hombres;286
Todas las edades;Extranjera;Mujeres;101
Todas las edades;No consta;Ambos sexos;0
Todas las edades;No consta;Hombres;0
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;22
Menores de 15 años;Total;Hombres;14
Menores de 15 años;Total;Mujeres;8
Menores de 15 años;Española;Ambos sexos;18
Menores de 15 años;Española;Hombres;12
Menores de 15 años;Española;Mujeres;6
Menores de 15 años;Extranjera;Ambos sexos;4
Menores de 15 años;Extranjera;Hombres;2
Menores de 15 años;Extranjera;Mujeres;2
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;316
De 15 a 29 años;Total;Hombres;237
De 15 a 29 años;Total;Mujeres;79
De 15 a 29 años;Española;Ambos sexos;239
De 15 a 29 años;Española;Hombres;172
De 15 a 29 años;Española;Mujeres;67
De 15 a 29 años;Extranjera;Ambos sexos;77
De 15 a 29 años;Extranjera;Hombres;65
De 15 a 29 años;Extranjera;Mujeres;12
De 15 a 29 años;No consta;Ambos sexos;0
De 15 a 29 años;No consta;Hombres;0
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;414
De 30 a 39 años;Total;Hombres;315
De 30 a 39 años;Total;Mujeres;99
De 30 a 39 años;Española;Ambos sexos;343
De 30 a 39 años;Española;Hombres;263
De 30 a 39 años;Española;Mujeres;80
De 30 a 39 años;Extranjera;Ambos sexos;71
De 30 a 39 años;Extranjera;Hombres;52
De 30 a 39 años;Extranjera;Mujeres;19
De 30 a 39 años;No consta;Ambos sexos;0
De 30 a 39 años;No consta;Hombres;0
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;355
De 40 a 44 años;Total;Hombres;281
De 40 a 44 años;Total;Mujeres;74
De 40 a 44 años;Española;Ambos sexos;311
De 40 a 44 años;Española;Hombres;247
De 40 a 44 años;Española;Mujeres;64
De 40 a 44 años;Extranjera;Ambos sexos;44
De 40 a 44 años;Extranjera;Hombres;34
De 40 a 44 años;Extranjera;Mujeres;10
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;438
De 45 a 49 años;Total;Hombres;318
De 45 a 49 años;Total;Mujeres;120
De 45 a 49 años;Española;Ambos sexos;395
De 45 a 49 años;Española;Hombres;288
De 45 a 49 años;Española;Mujeres;107
De 45 a 49 años;Extranjera;Ambos sexos;43
De 45 a 49 años;Extranjera;Hombres;30
De 45 a 49 años;Extranjera;Mujeres;13
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;460
De 50 a 54 años;Total;Hombres;323
De 50 a 54 años;Total;Mujeres;137
De 50 a 54 años;Española;Ambos sexos;421
De 50 a 54 años;Española;Hombres;292
De 50 a 54 años;Española;Mujeres;129
De 50 a 54 años;Extranjera;Ambos sexos;39
De 50 a 54 años;Extranjera;Hombres;31
De 50 a 54 años;Extranjera;Mujeres;8
De 50 a 54 años;No consta;Ambos sexos;0
De 50 a 54 años;No consta;Hombres;0
De 50 a 54 años;No consta;Mujeres;0
De 55 a 59 años;Total;Ambos sexos;407
De 55 a 59 años;Total;Hombres;305
De 55 a 59 años;Total;Mujeres;102
De 55 a 59 años;Española;Ambos sexos;374
De 55 a 59 años;Española;Hombres;279
De 55 a 59 años;Española;Mujeres;95
De 55 a 59 años;Extranjera;Ambos sexos;33
De 55 a 59 años;Extranjera;Hombres;26
De 55 a 59 años;Extranjera;Mujeres;7
De 55 a 59 años;No consta;Ambos sexos;0
De 55 a 59 años;No consta;Hombres;0
De 55 a 59 años;No consta;Mujeres;0
De 60 a 64 años;Total;Ambos sexos;356
De 60 a 64 años;Total;Hombres;268
De 60 a 64 años;Total;Mujeres;88
De 60 a 64 años;Española;Ambos sexos;336
De 60 a 64 años;Española;Hombres;256
De 60 a 64 años;Española;Mujeres;80
De 60 a 64 años;Extranjera;Ambos sexos;20
De 60 a 64 años;Extranjera;Hombres;12
De 60 a 64 años;Extranjera;Mujeres;8
De 60 a 64 años;No consta;Ambos sexos;0
De 60 a 64 años;No consta;Hombres;0
De 60 a 64 años;No consta;Mujeres;0
De 65 a 69 años;Total;Ambos sexos;236
De 65 a 69 años;Total;Hombres;161
De 65 a 69 años;Total;Mujeres;75
De 65 a 69 años;Española;Ambos sexos;213
De 65 a 69 años;Española;Hombres;148
De 65 a 69 años;Española;Mujeres;65
De 65 a 69 años;Extranjera;Ambos sexos;23
De 65 a 69 años;Extranjera;Hombres;13
De 65 a 69 años;Extranjera;Mujeres;10
De 65 a 69 años;No consta;Ambos sexos;0
De 65 a 69 años;No consta;Hombres;0
De 65 a 69 años;No consta;Mujeres;0
De 70 a 74 años;Total;Ambos sexos;218
De 70 a 74 años;Total;Hombres;162
De 70 a 74 años;Total;Mujeres;56
De 70 a 74 años;Española;Ambos sexos;212
De 70 a 74 años;Española;Hombres;158
De 70 a 74 años;Española;Mujeres;54
De 70 a 74 años;Extranjera;Ambos sexos;6
De 70 a 74 años;Extranjera;Hombres;4
De 70 a 74 años;Extranjera;Mujeres;2
De 70 a 74 años;No consta;Ambos sexos;0
De 70 a 74 años;No consta;Hombres;0
De 70 a 74 años;No consta;Mujeres;0
De 75 a 79 años;Total;Ambos sexos;262
De 75 a 79 años;Total;Hombres;197
De 75 a 79 años;Total;Mujeres;65
De 75 a 79 años;Española;Ambos sexos;252
De 75 a 79 años;Española;Hombres;194
De 75 a 79 años;Española;Mujeres;58
De 75 a 79 años;Extranjera;Ambos sexos;10
De 75 a 79 años;Extranjera;Hombres;3
De 75 a 79 años;Extranjera;Mujeres;7
De 75 a 79 años;No consta;Ambos sexos;0
De 75 a 79 años;No consta;Hombres;0
De 75 a 79 años;No consta;Mujeres;0
De 80 a 84 años;Total;Ambos sexos;227
De 80 a 84 años;Total;Hombres;168
De 80 a 84 años;Total;Mujeres;59
De 80 a 84 años;Española;Ambos sexos;216
De 80 a 84 años;Española;Hombres;159
De 80 a 84 años;Española;Mujeres;57
De 80 a 84 años;Extranjera;Ambos sexos;11
De 80 a 84 años;Extranjera;Hombres;9
De 80 a 84 años;Extranjera;Mujeres;2
De 80 a 84 años;No consta;Ambos sexos;0
De 80 a 84 años;No consta;Hombres;0
De 80 a 84 años;No consta;Mujeres;0
De 85 a 89 años;Total;Ambos sexos;182
De 85 a 89 años;Total;Hombres;141
De 85 a 89 años;Total;Mujeres;41
De 85 a 89 años;Española;Ambos sexos;178
De 85 a 89 años;Española;Hombres;138
De 85 a 89 años;Española;Mujeres;40
De 85 a 89 años;Extranjera;Ambos sexos;4
De 85 a 89 años;Extranjera;Hombres;3
De 85 a 89 años;Extranjera;Mujeres;1
De 85 a 89 años;No consta;Ambos sexos;0
De 85 a 89 años;No consta;Hombres;0
De 85 a 89 años;No consta;Mujeres;0
De 90 a 94 años;Total;Ambos sexos;89
De 90 a 94 años;Total;Hombres;74
De 90 a 94 años;Total;Mujeres;15
De 90 a 94 años;Española;Ambos sexos;88
De 90 a 94 años;Española;Hombres;73
De 90 a 94 años;Española;Mujeres;15
De 90 a 94 años;Extranjera;Ambos sexos;1
De 90 a 94 años;Extranjera;Hombres;1
De 90 a 94 años;Extranjera;Mujeres;0
De 90 a 94 años;No consta;Ambos sexos;0
De 90 a 94 años;No consta;Hombres;0
De 90 a 94 años;No consta;Mujeres;0
De 95 años y más;Total;Ambos sexos;21
De 95 años y más;Total;Hombres;18
De 95 años y más;Total;Mujeres;3
De 95 años y más;Española;Ambos sexos;20
De 95 años y más;Española;Hombres;17
De 95 años y más;Española;Mujeres;3
De 95 años y más;Extranjera;Ambos sexos;1
De 95 años y más;Extranjera;Hombres;1
De 95 años y más;Extranjera;Mujeres;0
De 95 años y más;No consta;Ambos sexos;0
De 95 años y más;No consta;Hombres;0
De 95 años y más;No consta;Mujeres;0
