Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;3.539
Todas las edades;Total;Hombres;2.619
Todas las edades;Total;Mujeres;920
Todas las edades;Española;Ambos sexos;3.209
Todas las edades;Española;Hombres;2.368
Todas las edades;Española;Mujeres;841
Todas las edades;Extranjera;Ambos sexos;330
Todas las edades;Extranjera;Hombres;251
Todas las edades;Extranjera;Mujeres;79
Todas las edades;No consta;Ambos sexos;0
Todas las edades;No consta;Hombres;0
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;7
Menores de 15 años;Total;Hombres;4
Menores de 15 años;Total;Mujeres;3
Menores de 15 años;Española;Ambos sexos;5
Menores de 15 años;Española;Hombres;2
Menores de 15 años;Española;Mujeres;3
Menores de 15 años;Extranjera;Ambos sexos;2
Menores de 15 años;Extranjera;Hombres;2
Menores de 15 años;Extranjera;Mujeres;0
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;268
De 15 a 29 años;Total;Hombres;203
De 15 a 29 años;Total;Mujeres;65
De 15 a 29 años;Española;Ambos sexos;215
De 15 a 29 años;Española;Hombres;160
De 15 a 29 años;Española;Mujeres;55
De 15 a 29 años;Extranjera;Ambos sexos;53
De 15 a 29 años;Extranjera;Hombres;43
De 15 a 29 años;Extranjera;Mujeres;10
De 15 a 29 años;No consta;Ambos sexos;0
De 15 a 29 años;No consta;Hombres;0
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;396
De 30 a 39 años;Total;Hombres;309
De 30 a 39 años;Total;Mujeres;87
De 30 a 39 años;Española;Ambos sexos;323
De 30 a 39 años;Española;Hombres;252
De 30 a 39 años;Española;Mujeres;71
De 30 a 39 años;Extranjera;Ambos sexos;73
De 30 a 39 años;Extranjera;Hombres;57
De 30 a 39 años;Extranjera;Mujeres;16
De 30 a 39 años;No consta;Ambos sexos;0
De 30 a 39 años;No consta;Hombres;0
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;315
De 40 a 44 años;Total;Hombres;236
De 40 a 44 años;Total;Mujeres;79
De 40 a 44 años;Española;Ambos sexos;280
De 40 a 44 años;Española;Hombres;211
De 40 a 44 años;Española;Mujeres;69
De 40 a 44 años;Extranjera;Ambos sexos;35
De 40 a 44 años;Extranjera;Hombres;25
De 40 a 44 años;Extranjera;Mujeres;10
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;393
De 45 a 49 años;Total;Hombres;298
De 45 a 49 años;Total;Mujeres;95
De 45 a 49 años;Española;Ambos sexos;356
De 45 a 49 años;Española;Hombres;267
De 45 a 49 años;Española;Mujeres;89
De 45 a 49 años;Extranjera;Ambos sexos;37
De 45 a 49 años;Extranjera;Hombres;31
De 45 a 49 años;Extranjera;Mujeres;6
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;377
De 50 a 54 años;Total;Hombres;280
De 50 a 54 años;Total;Mujeres;97
De 50 a 54 años;Española;Ambos sexos;345
De 50 a 54 años;Española;Hombres;261
De 50 a 54 años;Española;Mujeres;84
De 50 a 54 años;Extranjera;Ambos sexos;32
De 50 a 54 años;Extranjera;Hombres;19
De 50 a 54 años;Extranjera;Mujeres;13
De 50 a 54 años;No consta;Ambos sexos;0
De 50 a 54 años;No consta;Hombres;0
De 50 a 54 años;No consta;Mujeres;0
De 55 a 59 años;Total;Ambos sexos;381
De 55 a 59 años;Total;Hombres;275
De 55 a 59 años;Total;Mujeres;106
De 55 a 59 años;Española;Ambos sexos;354
De 55 a 59 años;Española;Hombres;254
De 55 a 59 años;Española;Mujeres;100
De 55 a 59 años;Extranjera;Ambos sexos;27
De 55 a 59 años;Extranjera;Hombres;21
De 55 a 59 años;Extranjera;Mujeres;6
De 55 a 59 años;No consta;Ambos sexos;0
De 55 a 59 años;No consta;Hombres;0
De 55 a 59 años;No consta;Mujeres;0
De 60 a 64 años;Total;Ambos sexos;273
De 60 a 64 años;Total;Hombres;196
De 60 a 64 años;Total;Mujeres;77
De 60 a 64 años;Española;Ambos sexos;259
De 60 a 64 años;Española;Hombres;184
De 60 a 64 años;Española;Mujeres;75
De 60 a 64 años;Extranjera;Ambos sexos;14
De 60 a 64 años;Extranjera;Hombres;12
De 60 a 64 años;Extranjera;Mujeres;2
De 60 a 64 años;No consta;Ambos sexos;0
De 60 a 64 años;No consta;Hombres;0
De 60 a 64 años;No consta;Mujeres;0
De 65 a 69 años;Total;Ambos sexos;239
De 65 a 69 años;Total;Hombres;164
De 65 a 69 años;Total;Mujeres;75
De 65 a 69 años;Española;Ambos sexos;230
De 65 a 69 años;Española;Hombres;158
De 65 a 69 años;Española;Mujeres;72
De 65 a 69 años;Extranjera;Ambos sexos;9
De 65 a 69 años;Extranjera;Hombres;6
De 65 a 69 años;Extranjera;Mujeres;3
De 65 a 69 años;No consta;Ambos sexos;0
De 65 a 69 años;No consta;Hombres;0
De 65 a 69 años;No consta;Mujeres;0
De 70 a 74 años;Total;Ambos sexos;230
De 70 a 74 años;Total;Hombres;160
De 70 a 74 años;Total;Mujeres;70
De 70 a 74 años;Española;Ambos sexos;215
De 70 a 74 años;Española;Hombres;150
De 70 a 74 años;Española;Mujeres;65
De 70 a 74 años;Extranjera;Ambos sexos;15
