Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;4.116
Todas las edades;Total;Hombres;3.044
Todas las edades;Total;Mujeres;1.072
Todas las edades;Española;Ambos sexos;3.643
Todas las edades;Española;Hombres;2.699
Todas las edades;Española;Mujeres;944
Todas las edades;Extranjera;Ambos sexos;472
Todas las edades;Extranjera;Hombres;344
Todas las edades;Extranjera;Mujeres;128
Todas las edades;No consta;Ambos sexos;1
Todas las edades;No consta;Hombres;1
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;10
Menores de 15 años;Total;Hombres;3
Menores de 15 años;Total;Mujeres;7
Menores de 15 años;Española;Ambos sexos;5
Menores de 15 años;Española;Hombres;3
Menores de 15 años;Española;Mujeres;2
Menores de 15 años;Extranjera;Ambos sexos;5
Menores de 15 años;Extranjera;Hombres;0
Menores de 15 años;Extranjera;Mujeres;5
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;354
De 15 a 29 años;Total;Hombres;256
De 15 a 29 años;Total;Mujeres;98
De 15 a 29 años;Española;Ambos sexos;267
De 15 a 29 años;Española;Hombres;192
De 15 a 29 años;Española;Mujeres;75
De 15 a 29 años;Extranjera;Ambos sexos;87
De 15 a 29 años;Extranjera;Hombres;64
De 15 a 29 años;Extranjera;Mujeres;23
De 15 a 29 años;No consta;Ambos sexos;0
De 15 a 29 años;No consta;Hombres;0
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;461
De 30 a 39 años;Total;Hombres;342
De 30 a 39 años;Total;Mujeres;119
De 30 a 39 años;Española;Ambos sexos;350
De 30 a 39 años;Española;Hombres;259
De 30 a 39 años;Española;Mujeres;91
De 30 a 39 años;Extranjera;Ambos sexos;111
De 30 a 39 años;Extranjera;Hombres;83
De 30 a 39 años;Extranjera;Mujeres;28
De 30 a 39 años;No consta;Ambos sexos;0
De 30 a 39 años;No consta;Hombres;0
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;355
De 40 a 44 años;Total;Hombres;264
De 40 a 44 años;Total;Mujeres;91
De 40 a 44 años;Española;Ambos sexos;311
De 40 a 44 años;Española;Hombres;233
De 40 a 44 años;Española;Mujeres;78
De 40 a 44 años;Extranjera;Ambos sexos;43
De 40 a 44 años;Extranjera;Hombres;30
De 40 a 44 años;Extranjera;Mujeres;13
De 40 a 44 años;No consta;Ambos sexos;1
De 40 a 44 años;No consta;Hombres;1
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;445
De 45 a 49 años;Total;Hombres;337
De 45 a 49 años;Total;Mujeres;108
De 45 a 49 años;Española;Ambos sexos;398
De 45 a 49 años;Española;Hombres;296
De 45 a 49 años;Española;Mujeres;102
De 45 a 49 años;Extranjera;Ambos sexos;47
De 45 a 49 años;Extranjera;Hombres;41
De 45 a 49 años;Extranjera;Mujeres;6
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;441
De 50 a 54 años;Total;Hombres;320
De 50 a 54 años;Total;Mujeres;121
De 50 a 54 años;Española;Ambos sexos;406
De 50 a 54 años;Española;Hombres;289
De 50 a 54 años;Española;Mujeres;117
De 50 a 54 años;Extranjera;Ambos sexos;35
De 50 a 54 años;Extranjera;Hombres;31
De 50 a 54 años;Extranjera;Mujeres;4
De 50 a 54 años;No consta;Ambos sexos;0
De 50 a 54 años;No consta;Hombres;0
De 50 a 54 años;No consta;Mujeres;0
De 55 a 59 años;Total;Ambos sexos;457
De 55 a 59 años;Total;Hombres;335
De 55 a 59 años;Total;Mujeres;122
De 55 a 59 años;Española;Ambos sexos;424
De 55 a 59 años;Española;Hombres;310
De 55 a 59 años;Española;Mujeres;114
De 55 a 59 años;Extranjera;Ambos sexos;33
De 55 a 59 años;Extranjera;Hombres;25
De 55 a 59 años;Extranjera;Mujeres;8
De 55 a 59 años;No consta;Ambos sexos;0
De 55 a 59 años;No consta;Hombres;0
De 55 a 59 años;No consta;Mujeres;0
