Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;02 Aragón;Ambos sexos;De 65 a 69 años;11
Total Nacional;02 Aragón;Ambos sexos;De 70 a 74 años;5
Total Nacional;02 Aragón;Ambos sexos;De 75 a 79 años;7
Total Nacional;02 Aragón;Ambos sexos;De 80 a 84 años;8
Total Nacional;02 Aragón;Ambos sexos;De 85 a 89 años;6
Total Nacional;02 Aragón;Ambos sexos;De 90 a 94 años;2
Total Nacional;02 Aragón;Ambos sexos;De 95 años y más;0
Total Nacional;02 Aragón;Hombres;Todas las edades;81
Total Nacional;02 Aragón;Hombres;Menores de 15 años;0
Total Nacional;02 Aragón;Hombres;De 15 a 29 años;8
Total Nacional;02 Aragón;Hombres;De 30 a 39 años;7
Total Nacional;02 Aragón;Hombres;De 40 a 44 años;10
Total Nacional;02 Aragón;Hombres;De 45 a 49 años;10
Total Nacional;02 Aragón;Hombres;De 50 a 54 años;6
Total Nacional;02 Aragón;Hombres;De 55 a 59 años;8
Total Nacional;02 Aragón;Hombres;De 60 a 64 años;4
Total Nacional;02 Aragón;Hombres;De 65 a 69 años;9
Total Nacional;02 Aragón;Hombres;De 70 a 74 años;1
Total Nacional;02 Aragón;Hombres;De 75 a 79 años;5
Total Nacional;02 Aragón;Hombres;De 80 a 84 años;8
Total Nacional;02 Aragón;Hombres;De 85 a 89 años;3
Total Nacional;02 Aragón;Hombres;De 90 a 94 años;2
Total Nacional;02 Aragón;Hombres;De 95 años y más;0
Total Nacional;02 Aragón;Mujeres;Todas las edades;28
Total Nacional;02 Aragón;Mujeres;Menores de 15 años;0
Total Nacional;02 Aragón;Mujeres;De 15 a 29 años;3
Total Nacional;02 Aragón;Mujeres;De 30 a 39 años;4
Total Nacional;02 Aragón;Mujeres;De 40 a 44 años;4
Total Nacional;02 Aragón;Mujeres;De 45 a 49 años;1
Total Nacional;02 Aragón;Mujeres;De 50 a 54 años;0
Total Nacional;02 Aragón;Mujeres;De 55 a 59 años;3
Total Nacional;02 Aragón;Mujeres;De 60 a 64 años;2
Total Nacional;02 Aragón;Mujeres;De 65 a 69 años;2
Total Nacional;02 Aragón;Mujeres;De 70 a 74 años;4
Total Nacional;02 Aragón;Mujeres;De 75 a 79 años;2
Total Nacional;02 Aragón;Mujeres;De 80 a 84 años;0
Total Nacional;02 Aragón;Mujeres;De 85 a 89 años;3
Total Nacional;02 Aragón;Mujeres;De 90 a 94 años;0
Total Nacional;02 Aragón;Mujeres;De 95 años y más;0
Total Nacional;03 Asturias, Principado de;Ambos sexos;Todas las edades;128
Total Nacional;03 Asturias, Principado de;Ambos sexos;Menores de 15 años;0
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 15 a 29 años;7
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 30 a 39 años;12
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 40 a 44 años;7
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 45 a 49 años;12
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 50 a 54 años;14
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 55 a 59 años;14
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 60 a 64 años;8
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 65 a 69 años;5
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 70 a 74 años;7
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 75 a 79 años;11
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 80 a 84 años;10
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 85 a 89 años;9
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 90 a 94 años;10
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 95 años y más;2
Total Nacional;03 Asturias, Principado de;Hombres;Todas las edades;97
Total Nacional;03 Asturias, Principado de;Hombres;Menores de 15 años;0
Total Nacional;03 Asturias, Principado de;Hombres;De 15 a 29 años;6
Total Nacional;03 Asturias, Principado de;Hombres;De 30 a 39 años;8
Total Nacional;03 Asturias, Principado de;Hombres;De 40 a 44 años;4
Total Nacional;03 Asturias, Principado de;Hombres;De 45 a 49 años;11
Total Nacional;03 Asturias, Principado de;Hombres;De 50 a 54 años;11
Total Nacional;03 Asturias, Principado de;Hombres;De 55 a 59 años;10
Total Nacional;03 Asturias, Principado de;Hombres;De 60 a 64 años;4
Total Nacional;03 Asturias, Principado de;Hombres;De 65 a 69 años;5
Total Nacional;03 Asturias, Principado de;Hombres;De 70 a 74 años;6
Total Nacional;03 Asturias, Principado de;Hombres;De 75 a 79 años;7
Total Nacional;03 Asturias, Principado de;Hombres;De 80 a 84 años;9
Total Nacional;03 Asturias, Principado de;Hombres;De 85 a 89 años;6
Total Nacional;03 Asturias, Principado de;Hombres;De 90 a 94 años;8
Total Nacional;03 Asturias, Principado de;Hombres;De 95 años y más;2
Total Nacional;03 Asturias, Principado de;Mujeres;Todas las edades;31
Total Nacional;03 Asturias, Principado de;Mujeres;Menores de 15 años;0
Total Nacional;03 Asturias, Principado de;Mujeres;De 15 a 29 años;1
Total Nacional;03 Asturias, Principado de;Mujeres;De 30 a 39 años;4
Total Nacional;03 Asturias, Principado de;Mujeres;De 40 a 44 años;3
Total Nacional;03 Asturias, Principado de;Mujeres;De 45 a 49 años;1
