Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;3.602
Todos los meses;Ambos sexos;Menores de 15 años;8
Todos los meses;Ambos sexos;De 15 a 29 años;296
Todos los meses;Ambos sexos;De 30 a 39 años;427
Todos los meses;Ambos sexos;De 40 a 44 años;355
Todos los meses;Ambos sexos;De 45 a 49 años;387
Todos los meses;Ambos sexos;De 50 a 54 años;372
Todos los meses;Ambos sexos;De 55 a 59 años;332
Todos los meses;Ambos sexos;De 60 a 64 años;251
Todos los meses;Ambos sexos;De 65 a 69 años;228
Todos los meses;Ambos sexos;De 70 a 74 años;206
Todos los meses;Ambos sexos;De 75 a 79 años;247
Todos los meses;Ambos sexos;De 80 a 84 años;255
Todos los meses;Ambos sexos;De 85 a 89 años;161
Todos los meses;Ambos sexos;De 90 a 94 años;64
Todos los meses;Ambos sexos;De 95 años y más;13
Todos los meses;Hombres;Todas las edades;2.680
Todos los meses;Hombres;Menores de 15 años;7
Todos los meses;Hombres;De 15 a 29 años;218
Todos los meses;Hombres;De 30 a 39 años;332
Todos los meses;Hombres;De 40 a 44 años;259
Todos los meses;Hombres;De 45 a 49 años;276
Todos los meses;Hombres;De 50 a 54 años;279
Todos los meses;Hombres;De 55 a 59 años;251
Todos los meses;Hombres;De 60 a 64 años;176
Todos los meses;Hombres;De 65 a 69 años;166
Todos los meses;Hombres;De 70 a 74 años;143
Todos los meses;Hombres;De 75 a 79 años;178
Todos los meses;Hombres;De 80 a 84 años;205
Todos los meses;Hombres;De 85 a 89 años;131
Todos los meses;Hombres;De 90 a 94 años;50
Todos los meses;Hombres;De 95 años y más;9
Todos los meses;Mujeres;Todas las edades;922
Todos los meses;Mujeres;Menores de 15 años;1
Todos los meses;Mujeres;De 15 a 29 años;78
Todos los meses;Mujeres;De 30 a 39 años;95
Todos los meses;Mujeres;De 40 a 44 años;96
Todos los meses;Mujeres;De 45 a 49 años;111
Todos los meses;Mujeres;De 50 a 54 años;93
Todos los meses;Mujeres;De 55 a 59 años;81
Todos los meses;Mujeres;De 60 a 64 años;75
Todos los meses;Mujeres;De 65 a 69 años;62
Todos los meses;Mujeres;De 70 a 74 años;63
Todos los meses;Mujeres;De 75 a 79 años;69
Todos los meses;Mujeres;De 80 a 84 años;50
Todos los meses;Mujeres;De 85 a 89 años;30
Todos los meses;Mujeres;De 90 a 94 años;14
Todos los meses;Mujeres;De 95 años y más;4
enero;Ambos sexos;Todas las edades;276
enero;Ambos sexos;Menores de 15 años;2
enero;Ambos sexos;De 15 a 29 años;16
enero;Ambos sexos;De 30 a 39 años;29
enero;Ambos sexos;De 40 a 44 años;26
enero;Ambos sexos;De 45 a 49 años;26
enero;Ambos sexos;De 50 a 54 años;28
enero;Ambos sexos;De 55 a 59 años;32
enero;Ambos sexos;De 60 a 64 años;16
enero;Ambos sexos;De 65 a 69 años;18
enero;Ambos sexos;De 70 a 74 años;21
enero;Ambos sexos;De 75 a 79 años;16
enero;Ambos sexos;De 80 a 84 años;29
enero;Ambos sexos;De 85 a 89 años;8
enero;Ambos sexos;De 90 a 94 años;7
enero;Ambos sexos;De 95 años y más;2
enero;Hombres;Todas las edades;204
enero;Hombres;Menores de 15 años;2
enero;Hombres;De 15 a 29 años;13
enero;Hombres;De 30 a 39 años;20
enero;Hombres;De 40 a 44 años;20
enero;Hombres;De 45 a 49 años;19
enero;Hombres;De 50 a 54 años;18
enero;Hombres;De 55 a 59 años;24
enero;Hombres;De 60 a 64 años;13
enero;Hombres;De 65 a 69 años;13
enero;Hombres;De 70 a 74 años;16
enero;Hombres;De 75 a 79 años;10
enero;Hombres;De 80 a 84 años;24
enero;Hombres;De 85 a 89 años;5
enero;Hombres;De 90 a 94 años;5
enero;Hombres;De 95 años y más;2
enero;Mujeres;Todas las edades;72
enero;Mujeres;Menores de 15 años;0
enero;Mujeres;De 15 a 29 años;3
enero;Mujeres;De 30 a 39 años;9
enero;Mujeres;De 40 a 44 años;6
enero;Mujeres;De 45 a 49 años;7
enero;Mujeres;De 50 a 54 años;10
enero;Mujeres;De 55 a 59 años;8
enero;Mujeres;De 60 a 64 años;3
enero;Mujeres;De 65 a 69 años;5
enero;Mujeres;De 70 a 74 años;5
enero;Mujeres;De 75 a 79 años;6
enero;Mujeres;De 80 a 84 años;5
enero;Mujeres;De 85 a 89 años;3
enero;Mujeres;De 90 a 94 años;2
enero;Mujeres;De 95 años y más;0
febrero;Ambos sexos;Todas las edades;270
febrero;Ambos sexos;Menores de 15 años;0
febrero;Ambos sexos;De 15 a 29 años;28
febrero;Ambos sexos;De 30 a 39 años;26
febrero;Ambos sexos;De 40 a 44 años;19
febrero;Ambos sexos;De 45 a 49 años;30
febrero;Ambos sexos;De 50 a 54 años;24
febrero;Ambos sexos;De 55 a 59 años;28
febrero;Ambos sexos;De 60 a 64 años;14
febrero;Ambos sexos;De 65 a 69 años;17
febrero;Ambos sexos;De 70 a 74 años;15
febrero;Ambos sexos;De 75 a 79 años;25
febrero;Ambos sexos;De 80 a 84 años;18
febrero;Ambos sexos;De 85 a 89 años;16
febrero;Ambos sexos;De 90 a 94 años;7
febrero;Ambos sexos;De 95 años y más;3
febrero;Hombres;Todas las edades;197
febrero;Hombres;Menores de 15 años;0
febrero;Hombres;De 15 a 29 años;25
febrero;Hombres;De 30 a 39 años;15
febrero;Hombres;De 40 a 44 años;14
febrero;Hombres;De 45 a 49 años;25
febrero;Hombres;De 50 a 54 años;17
febrero;Hombres;De 55 a 59 años;16
febrero;Hombres;De 60 a 64 años;12
febrero;Hombres;De 65 a 69 años;12
febrero;Hombres;De 70 a 74 años;12
febrero;Hombres;De 75 a 79 años;14
febrero;Hombres;De 80 a 84 años;14
febrero;Hombres;De 85 a 89 años;13
febrero;Hombres;De 90 a 94 años;6
febrero;Hombres;De 95 años y más;2
febrero;Mujeres;Todas las edades;73
febrero;Mujeres;Menores de 15 años;0
febrero;Mujeres;De 15 a 29 años;3
febrero;Mujeres;De 30 a 39 años;11
febrero;Mujeres;De 40 a 44 años;5
febrero;Mujeres;De 45 a 49 años;5
febrero;Mujeres;De 50 a 54 años;7
febrero;Mujeres;De 55 a 59 años;12
febrero;Mujeres;De 60 a 64 años;2
febrero;Mujeres;De 65 a 69 años;5
febrero;Mujeres;De 70 a 74 años;3
febrero;Mujeres;De 75 a 79 años;11
febrero;Mujeres;De 80 a 84 años;4
febrero;Mujeres;De 85 a 89 años;3
febrero;Mujeres;De 90 a 94 años;1
febrero;Mujeres;De 95 años y más;1
marzo;Ambos sexos;Todas las edades;367
marzo;Ambos sexos;Menores de 15 años;0
marzo;Ambos sexos;De 15 a 29 años;30
marzo;Ambos sexos;De 30 a 39 años;57
marzo;Ambos sexos;De 40 a 44 años;34
marzo;Ambos sexos;De 45 a 49 años;38
marzo;Ambos sexos;De 50 a 54 años;30
marzo;Ambos sexos;De 55 a 59 años;45
marzo;Ambos sexos;De 60 a 64 años;19
marzo;Ambos sexos;De 65 a 69 años;24
marzo;Ambos sexos;De 70 a 74 años;22
marzo;Ambos sexos;De 75 a 79 años;15
marzo;Ambos sexos;De 80 a 84 años;31
marzo;Ambos sexos;De 85 a 89 años;16
marzo;Ambos sexos;De 90 a 94 años;6
marzo;Ambos sexos;De 95 años y más;0
marzo;Hombres;Todas las edades;264
marzo;Hombres;Menores de 15 años;0
marzo;Hombres;De 15 a 29 años;24
marzo;Hombres;De 30 a 39 años;44
marzo;Hombres;De 40 a 44 años;25
marzo;Hombres;De 45 a 49 años;24
marzo;Hombres;De 50 a 54 años;26
marzo;Hombres;De 55 a 59 años;30
marzo;Hombres;De 60 a 64 años;10
marzo;Hombres;De 65 a 69 años;17
marzo;Hombres;De 70 a 74 años;11
marzo;Hombres;De 75 a 79 años;10
marzo;Hombres;De 80 a 84 años;26
marzo;Hombres;De 85 a 89 años;12
marzo;Hombres;De 90 a 94 años;5
marzo;Hombres;De 95 años y más;0
marzo;Mujeres;Todas las edades;103
marzo;Mujeres;Menores de 15 años;0
marzo;Mujeres;De 15 a 29 años;6
marzo;Mujeres;De 30 a 39 años;13
marzo;Mujeres;De 40 a 44 años;9
marzo;Mujeres;De 45 a 49 años;14
marzo;Mujeres;De 50 a 54 años;4
marzo;Mujeres;De 55 a 59 años;15
marzo;Mujeres;De 60 a 64 años;9
marzo;Mujeres;De 65 a 69 años;7
marzo;Mujeres;De 70 a 74 años;11
marzo;Mujeres;De 75 a 79 años;5
marzo;Mujeres;De 80 a 84 años;5
marzo;Mujeres;De 85 a 89 años;4
marzo;Mujeres;De 90 a 94 años;1
marzo;Mujeres;De 95 años y más;0
abril;Ambos sexos;Todas las edades;287
abril;Ambos sexos;Menores de 15 años;1
abril;Ambos sexos;De 15 a 29 años;23
abril;Ambos sexos;De 30 a 39 años;30
abril;Ambos sexos;De 40 a 44 años;30
abril;Ambos sexos;De 45 a 49 años;37
abril;Ambos sexos;De 50 a 54 años;29
abril;Ambos sexos;De 55 a 59 años;25
abril;Ambos sexos;De 60 a 64 años;18
abril;Ambos sexos;De 65 a 69 años;19
abril;Ambos sexos;De 70 a 74 años;20
abril;Ambos sexos;De 75 a 79 años;24
abril;Ambos sexos;De 80 a 84 años;17
abril;Ambos sexos;De 85 a 89 años;11
abril;Ambos sexos;De 90 a 94 años;2
abril;Ambos sexos;De 95 años y más;1
abril;Hombres;Todas las edades;217
abril;Hombres;Menores de 15 años;1
abril;Hombres;De 15 a 29 años;18
abril;Hombres;De 30 a 39 años;25
abril;Hombres;De 40 a 44 años;21
abril;Hombres;De 45 a 49 años;24
abril;Hombres;De 50 a 54 años;21
abril;Hombres;De 55 a 59 años;18
abril;Hombres;De 60 a 64 años;13
abril;Hombres;De 65 a 69 años;14
abril;Hombres;De 70 a 74 años;14
abril;Hombres;De 75 a 79 años;22
abril;Hombres;De 80 a 84 años;13
abril;Hombres;De 85 a 89 años;11
abril;Hombres;De 90 a 94 años;2
abril;Hombres;De 95 años y más;0
abril;Mujeres;Todas las edades;70
abril;Mujeres;Menores de 15 años;0
abril;Mujeres;De 15 a 29 años;5
abril;Mujeres;De 30 a 39 años;5
abril;Mujeres;De 40 a 44 años;9
abril;Mujeres;De 45 a 49 años;13
abril;Mujeres;De 50 a 54 años;8
abril;Mujeres;De 55 a 59 años;7
abril;Mujeres;De 60 a 64 años;5
abril;Mujeres;De 65 a 69 años;5
abril;Mujeres;De 70 a 74 años;6
abril;Mujeres;De 75 a 79 años;2
abril;Mujeres;De 80 a 84 años;4
abril;Mujeres;De 85 a 89 años;0
abril;Mujeres;De 90 a 94 años;0
abril;Mujeres;De 95 años y más;1
mayo;Ambos sexos;Todas las edades;331
mayo;Ambos sexos;Menores de 15 años;2
mayo;Ambos sexos;De 15 a 29 años;27
mayo;Ambos sexos;De 30 a 39 años;37
mayo;Ambos sexos;De 40 a 44 años;29
mayo;Ambos sexos;De 45 a 49 años;33
mayo;Ambos sexos;De 50 a 54 años;34
mayo;Ambos sexos;De 55 a 59 años;35
mayo;Ambos sexos;De 60 a 64 años;25
mayo;Ambos sexos;De 65 a 69 años;29
mayo;Ambos sexos;De 70 a 74 años;18
mayo;Ambos sexos;De 75 a 79 años;18
mayo;Ambos sexos;De 80 a 84 años;13
mayo;Ambos sexos;De 85 a 89 años;21
mayo;Ambos sexos;De 90 a 94 años;9
mayo;Ambos sexos;De 95 años y más;1
mayo;Hombres;Todas las edades;248
mayo;Hombres;Menores de 15 años;2
mayo;Hombres;De 15 a 29 años;22
mayo;Hombres;De 30 a 39 años;27
mayo;Hombres;De 40 a 44 años;21
mayo;Hombres;De 45 a 49 años;20
mayo;Hombres;De 50 a 54 años;30
mayo;Hombres;De 55 a 59 años;27
mayo;Hombres;De 60 a 64 años;15
mayo;Hombres;De 65 a 69 años;22
mayo;Hombres;De 70 a 74 años;13
mayo;Hombres;De 75 a 79 años;13
mayo;Hombres;De 80 a 84 años;11
mayo;Hombres;De 85 a 89 años;16
mayo;Hombres;De 90 a 94 años;8
mayo;Hombres;De 95 años y más;1
mayo;Mujeres;Todas las edades;83
mayo;Mujeres;Menores de 15 años;0
mayo;Mujeres;De 15 a 29 años;5
mayo;Mujeres;De 30 a 39 años;10
mayo;Mujeres;De 40 a 44 años;8
mayo;Mujeres;De 45 a 49 años;13
mayo;Mujeres;De 50 a 54 años;4
mayo;Mujeres;De 55 a 59 años;8
mayo;Mujeres;De 60 a 64 años;10
mayo;Mujeres;De 65 a 69 años;7
mayo;Mujeres;De 70 a 74 años;5
mayo;Mujeres;De 75 a 79 años;5
