Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;3.910
Todos los meses;Ambos sexos;Menores de 15 años;10
Todos los meses;Ambos sexos;De 15 a 29 años;319
Todos los meses;Ambos sexos;De 30 a 39 años;504
Todos los meses;Ambos sexos;De 40 a 44 años;386
Todos los meses;Ambos sexos;De 45 a 49 años;457
Todos los meses;Ambos sexos;De 50 a 54 años;438
Todos los meses;Ambos sexos;De 55 a 59 años;313
Todos los meses;Ambos sexos;De 60 a 64 años;268
Todos los meses;Ambos sexos;De 65 a 69 años;256
Todos los meses;Ambos sexos;De 70 a 74 años;215
Todos los meses;Ambos sexos;De 75 a 79 años;246
Todos los meses;Ambos sexos;De 80 a 84 años;232
Todos los meses;Ambos sexos;De 85 a 89 años;189
Todos los meses;Ambos sexos;De 90 a 94 años;69
Todos los meses;Ambos sexos;De 95 años y más;8
Todos los meses;Hombres;Todas las edades;2.938
Todos los meses;Hombres;Menores de 15 años;4
Todos los meses;Hombres;De 15 a 29 años;239
Todos los meses;Hombres;De 30 a 39 años;375
Todos los meses;Hombres;De 40 a 44 años;293
Todos los meses;Hombres;De 45 a 49 años;337
Todos los meses;Hombres;De 50 a 54 años;344
Todos los meses;Hombres;De 55 a 59 años;236
Todos los meses;Hombres;De 60 a 64 años;190
Todos los meses;Hombres;De 65 a 69 años;175
Todos los meses;Hombres;De 70 a 74 años;158
Todos los meses;Hombres;De 75 a 79 años;194
Todos los meses;Hombres;De 80 a 84 años;184
Todos los meses;Hombres;De 85 a 89 años;152
Todos los meses;Hombres;De 90 a 94 años;50
Todos los meses;Hombres;De 95 años y más;7
Todos los meses;Mujeres;Todas las edades;972
Todos los meses;Mujeres;Menores de 15 años;6
Todos los meses;Mujeres;De 15 a 29 años;80
Todos los meses;Mujeres;De 30 a 39 años;129
Todos los meses;Mujeres;De 40 a 44 años;93
Todos los meses;Mujeres;De 45 a 49 años;120
Todos los meses;Mujeres;De 50 a 54 años;94
Todos los meses;Mujeres;De 55 a 59 años;77
Todos los meses;Mujeres;De 60 a 64 años;78
Todos los meses;Mujeres;De 65 a 69 años;81
Todos los meses;Mujeres;De 70 a 74 años;57
Todos los meses;Mujeres;De 75 a 79 años;52
Todos los meses;Mujeres;De 80 a 84 años;48
Todos los meses;Mujeres;De 85 a 89 años;37
Todos los meses;Mujeres;De 90 a 94 años;19
Todos los meses;Mujeres;De 95 años y más;1
enero;Ambos sexos;Todas las edades;339
enero;Ambos sexos;Menores de 15 años;2
enero;Ambos sexos;De 15 a 29 años;32
enero;Ambos sexos;De 30 a 39 años;45
enero;Ambos sexos;De 40 a 44 años;24
enero;Ambos sexos;De 45 a 49 años;34
enero;Ambos sexos;De 50 a 54 años;38
enero;Ambos sexos;De 55 a 59 años;27
enero;Ambos sexos;De 60 a 64 años;25
enero;Ambos sexos;De 65 a 69 años;25
enero;Ambos sexos;De 70 a 74 años;16
enero;Ambos sexos;De 75 a 79 años;23
enero;Ambos sexos;De 80 a 84 años;28
enero;Ambos sexos;De 85 a 89 años;12
enero;Ambos sexos;De 90 a 94 años;6
enero;Ambos sexos;De 95 años y más;2
enero;Hombres;Todas las edades;279
enero;Hombres;Menores de 15 años;1
enero;Hombres;De 15 a 29 años;29
enero;Hombres;De 30 a 39 años;35
enero;Hombres;De 40 a 44 años;23
enero;Hombres;De 45 a 49 años;28
enero;Hombres;De 50 a 54 años;30
enero;Hombres;De 55 a 59 años;23
enero;Hombres;De 60 a 64 años;23
enero;Hombres;De 65 a 69 años;17
enero;Hombres;De 70 a 74 años;14
enero;Hombres;De 75 a 79 años;16
enero;Hombres;De 80 a 84 años;22
enero;Hombres;De 85 a 89 años;10
enero;Hombres;De 90 a 94 años;6
enero;Hombres;De 95 años y más;2
enero;Mujeres;Todas las edades;60
enero;Mujeres;Menores de 15 años;1
enero;Mujeres;De 15 a 29 años;3
enero;Mujeres;De 30 a 39 años;10
enero;Mujeres;De 40 a 44 años;1
enero;Mujeres;De 45 a 49 años;6
enero;Mujeres;De 50 a 54 años;8
enero;Mujeres;De 55 a 59 años;4
enero;Mujeres;De 60 a 64 años;2
enero;Mujeres;De 65 a 69 años;8
enero;Mujeres;De 70 a 74 años;2
enero;Mujeres;De 75 a 79 años;7
enero;Mujeres;De 80 a 84 años;6
enero;Mujeres;De 85 a 89 años;2
enero;Mujeres;De 90 a 94 años;0
enero;Mujeres;De 95 años y más;0
febrero;Ambos sexos;Todas las edades;293
febrero;Ambos sexos;Menores de 15 años;0
febrero;Ambos sexos;De 15 a 29 años;24
febrero;Ambos sexos;De 30 a 39 años;47
febrero;Ambos sexos;De 40 a 44 años;28
febrero;Ambos sexos;De 45 a 49 años;34
febrero;Ambos sexos;De 50 a 54 años;28
febrero;Ambos sexos;De 55 a 59 años;34
febrero;Ambos sexos;De 60 a 64 años;11
febrero;Ambos sexos;De 65 a 69 años;26
febrero;Ambos sexos;De 70 a 74 años;9
febrero;Ambos sexos;De 75 a 79 años;14
febrero;Ambos sexos;De 80 a 84 años;22
febrero;Ambos sexos;De 85 a 89 años;13
febrero;Ambos sexos;De 90 a 94 años;3
febrero;Ambos sexos;De 95 años y más;0
febrero;Hombres;Todas las edades;227
febrero;Hombres;Menores de 15 años;0
febrero;Hombres;De 15 a 29 años;18
febrero;Hombres;De 30 a 39 años;34
febrero;Hombres;De 40 a 44 años;23
febrero;Hombres;De 45 a 49 años;26
febrero;Hombres;De 50 a 54 años;24
febrero;Hombres;De 55 a 59 años;25
febrero;Hombres;De 60 a 64 años;10
febrero;Hombres;De 65 a 69 años;15
febrero;Hombres;De 70 a 74 años;6
febrero;Hombres;De 75 a 79 años;14
febrero;Hombres;De 80 a 84 años;18
febrero;Hombres;De 85 a 89 años;11
febrero;Hombres;De 90 a 94 años;3
febrero;Hombres;De 95 años y más;0
febrero;Mujeres;Todas las edades;66
febrero;Mujeres;Menores de 15 años;0
febrero;Mujeres;De 15 a 29 años;6
febrero;Mujeres;De 30 a 39 años;13
febrero;Mujeres;De 40 a 44 años;5
febrero;Mujeres;De 45 a 49 años;8
febrero;Mujeres;De 50 a 54 años;4
febrero;Mujeres;De 55 a 59 años;9
febrero;Mujeres;De 60 a 64 años;1
febrero;Mujeres;De 65 a 69 años;11
febrero;Mujeres;De 70 a 74 años;3
febrero;Mujeres;De 75 a 79 años;0
febrero;Mujeres;De 80 a 84 años;4
febrero;Mujeres;De 85 a 89 años;2
febrero;Mujeres;De 90 a 94 años;0
febrero;Mujeres;De 95 años y más;0
marzo;Ambos sexos;Todas las edades;318
marzo;Ambos sexos;Menores de 15 años;1
marzo;Ambos sexos;De 15 a 29 años;32
marzo;Ambos sexos;De 30 a 39 años;39
marzo;Ambos sexos;De 40 a 44 años;29
marzo;Ambos sexos;De 45 a 49 años;40
marzo;Ambos sexos;De 50 a 54 años;39
marzo;Ambos sexos;De 55 a 59 años;30
marzo;Ambos sexos;De 60 a 64 años;19
marzo;Ambos sexos;De 65 a 69 años;17
marzo;Ambos sexos;De 70 a 74 años;13
