Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;3.569
Todos los meses;Ambos sexos;Menores de 15 años;12
Todos los meses;Ambos sexos;De 15 a 29 años;247
Todos los meses;Ambos sexos;De 30 a 39 años;456
Todos los meses;Ambos sexos;De 40 a 44 años;355
Todos los meses;Ambos sexos;De 45 a 49 años;349
Todos los meses;Ambos sexos;De 50 a 54 años;377
Todos los meses;Ambos sexos;De 55 a 59 años;323
Todos los meses;Ambos sexos;De 60 a 64 años;270
Todos los meses;Ambos sexos;De 65 a 69 años;263
Todos los meses;Ambos sexos;De 70 a 74 años;212
Todos los meses;Ambos sexos;De 75 a 79 años;236
Todos los meses;Ambos sexos;De 80 a 84 años;231
Todos los meses;Ambos sexos;De 85 a 89 años;143
Todos los meses;Ambos sexos;De 90 a 94 años;79
Todos los meses;Ambos sexos;De 95 años y más;16
Todos los meses;Hombres;Todas las edades;2.662
Todos los meses;Hombres;Menores de 15 años;8
Todos los meses;Hombres;De 15 a 29 años;180
Todos los meses;Hombres;De 30 a 39 años;346
Todos los meses;Hombres;De 40 a 44 años;275
Todos los meses;Hombres;De 45 a 49 años;266
Todos los meses;Hombres;De 50 a 54 años;288
Todos los meses;Hombres;De 55 a 59 años;242
Todos los meses;Hombres;De 60 a 64 años;191
Todos los meses;Hombres;De 65 a 69 años;175
Todos los meses;Hombres;De 70 a 74 años;154
Todos los meses;Hombres;De 75 a 79 años;178
Todos los meses;Hombres;De 80 a 84 años;181
Todos los meses;Hombres;De 85 a 89 años;106
Todos los meses;Hombres;De 90 a 94 años;60
Todos los meses;Hombres;De 95 años y más;12
Todos los meses;Mujeres;Todas las edades;907
Todos los meses;Mujeres;Menores de 15 años;4
Todos los meses;Mujeres;De 15 a 29 años;67
Todos los meses;Mujeres;De 30 a 39 años;110
Todos los meses;Mujeres;De 40 a 44 años;80
Todos los meses;Mujeres;De 45 a 49 años;83
Todos los meses;Mujeres;De 50 a 54 años;89
Todos los meses;Mujeres;De 55 a 59 años;81
Todos los meses;Mujeres;De 60 a 64 años;79
Todos los meses;Mujeres;De 65 a 69 años;88
Todos los meses;Mujeres;De 70 a 74 años;58
Todos los meses;Mujeres;De 75 a 79 años;58
Todos los meses;Mujeres;De 80 a 84 años;50
Todos los meses;Mujeres;De 85 a 89 años;37
Todos los meses;Mujeres;De 90 a 94 años;19
Todos los meses;Mujeres;De 95 años y más;4
enero;Ambos sexos;Todas las edades;301
enero;Ambos sexos;Menores de 15 años;1
enero;Ambos sexos;De 15 a 29 años;25
