Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;3.671
Todas las edades;Total;Hombres;2.771
Todas las edades;Total;Mujeres;900
Todas las edades;Española;Ambos sexos;3.277
Todas las edades;Española;Hombres;2.479
Todas las edades;Española;Mujeres;798
Todas las edades;Extranjera;Ambos sexos;393
Todas las edades;Extranjera;Hombres;292
Todas las edades;Extranjera;Mujeres;101
Todas las edades;No consta;Ambos sexos;1
Todas las edades;No consta;Hombres;0
Todas las edades;No consta;Mujeres;1
Menores de 15 años;Total;Ambos sexos;7
Menores de 15 años;Total;Hombres;4
Menores de 15 años;Total;Mujeres;3
Menores de 15 años;Española;Ambos sexos;7
Menores de 15 años;Española;Hombres;4
Menores de 15 años;Española;Mujeres;3
Menores de 15 años;Extranjera;Ambos sexos;0
Menores de 15 años;Extranjera;Hombres;0
Menores de 15 años;Extranjera;Mujeres;0
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;309
De 15 a 29 años;Total;Hombres;235
De 15 a 29 años;Total;Mujeres;74
De 15 a 29 años;Española;Ambos sexos;235
De 15 a 29 años;Española;Hombres;178
De 15 a 29 años;Española;Mujeres;57
De 15 a 29 años;Extranjera;Ambos sexos;74
De 15 a 29 años;Extranjera;Hombres;57
De 15 a 29 años;Extranjera;Mujeres;17
De 15 a 29 años;No consta;Ambos sexos;0
De 15 a 29 años;No consta;Hombres;0
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;413
De 30 a 39 años;Total;Hombres;314
De 30 a 39 años;Total;Mujeres;99
De 30 a 39 años;Española;Ambos sexos;336
De 30 a 39 años;Española;Hombres;262
De 30 a 39 años;Española;Mujeres;74
De 30 a 39 años;Extranjera;Ambos sexos;77
De 30 a 39 años;Extranjera;Hombres;52
De 30 a 39 años;Extranjera;Mujeres;25
De 30 a 39 años;No consta;Ambos sexos;0
De 30 a 39 años;No consta;Hombres;0
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;342
De 40 a 44 años;Total;Hombres;263
De 40 a 44 años;Total;Mujeres;79
De 40 a 44 años;Española;Ambos sexos;306
De 40 a 44 años;Española;Hombres;235
De 40 a 44 años;Española;Mujeres;71
De 40 a 44 años;Extranjera;Ambos sexos;36
De 40 a 44 años;Extranjera;Hombres;28
De 40 a 44 años;Extranjera;Mujeres;8
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;389
De 45 a 49 años;Total;Hombres;310
De 45 a 49 años;Total;Mujeres;79
De 45 a 49 años;Española;Ambos sexos;340
De 45 a 49 años;Española;Hombres;271
De 45 a 49 años;Española;Mujeres;69
De 45 a 49 años;Extranjera;Ambos sexos;49
De 45 a 49 años;Extranjera;Hombres;39
De 45 a 49 años;Extranjera;Mujeres;10
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;411
De 50 a 54 años;Total;Hombres;301
De 50 a 54 años;Total;Mujeres;110
De 50 a 54 años;Española;Ambos sexos;378
De 50 a 54 años;Española;Hombres;275
De 50 a 54 años;Española;Mujeres;103
De 50 a 54 años;Extranjera;Ambos sexos;32
De 50 a 54 años;Extranjera;Hombres;26
De 50 a 54 años;Extranjera;Mujeres;6
De 50 a 54 años;No consta;Ambos sexos;1
De 50 a 54 años;No consta;Hombres;0
De 50 a 54 años;No consta;Mujeres;1
De 55 a 59 años;Total;Ambos sexos;350
De 55 a 59 años;Total;Hombres;260
De 55 a 59 años;Total;Mujeres;90
De 55 a 59 años;Española;Ambos sexos;320
De 55 a 59 años;Española;Hombres;237
De 55 a 59 años;Española;Mujeres;83
De 55 a 59 años;Extranjera;Ambos sexos;30
De 55 a 59 años;Extranjera;Hombres;23
