Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;3.910
Todas las edades;Total;Hombres;2.938
Todas las edades;Total;Mujeres;972
Todas las edades;Española;Ambos sexos;3.599
Todas las edades;Española;Hombres;2.697
Todas las edades;Española;Mujeres;902
Todas las edades;Extranjera;Ambos sexos;307
Todas las edades;Extranjera;Hombres;237
Todas las edades;Extranjera;Mujeres;70
Todas las edades;No consta;Ambos sexos;4
Todas las edades;No consta;Hombres;4
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;10
Menores de 15 años;Total;Hombres;4
Menores de 15 años;Total;Mujeres;6
Menores de 15 años;Española;Ambos sexos;7
Menores de 15 años;Española;Hombres;2
Menores de 15 años;Española;Mujeres;5
Menores de 15 años;Extranjera;Ambos sexos;2
Menores de 15 años;Extranjera;Hombres;1
Menores de 15 años;Extranjera;Mujeres;1
Menores de 15 años;No consta;Ambos sexos;1
Menores de 15 años;No consta;Hombres;1
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;319
De 15 a 29 años;Total;Hombres;239
De 15 a 29 años;Total;Mujeres;80
De 15 a 29 años;Española;Ambos sexos;255
De 15 a 29 años;Española;Hombres;190
De 15 a 29 años;Española;Mujeres;65
De 15 a 29 años;Extranjera;Ambos sexos;63
De 15 a 29 años;Extranjera;Hombres;48
De 15 a 29 años;Extranjera;Mujeres;15
De 15 a 29 años;No consta;Ambos sexos;1
De 15 a 29 años;No consta;Hombres;1
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;504
De 30 a 39 años;Total;Hombres;375
De 30 a 39 años;Total;Mujeres;129
De 30 a 39 años;Española;Ambos sexos;438
De 30 a 39 años;Española;Hombres;323
De 30 a 39 años;Española;Mujeres;115
De 30 a 39 años;Extranjera;Ambos sexos;66
De 30 a 39 años;Extranjera;Hombres;52
De 30 a 39 años;Extranjera;Mujeres;14
De 30 a 39 años;No consta;Ambos sexos;0
De 30 a 39 años;No consta;Hombres;0
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;386
De 40 a 44 años;Total;Hombres;293
De 40 a 44 años;Total;Mujeres;93
De 40 a 44 años;Española;Ambos sexos;360
De 40 a 44 años;Española;Hombres;272
De 40 a 44 años;Española;Mujeres;88
De 40 a 44 años;Extranjera;Ambos sexos;26
De 40 a 44 años;Extranjera;Hombres;21
De 40 a 44 años;Extranjera;Mujeres;5
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;457
De 45 a 49 años;Total;Hombres;337
De 45 a 49 años;Total;Mujeres;120
De 45 a 49 años;Española;Ambos sexos;420
De 45 a 49 años;Española;Hombres;310
De 45 a 49 años;Española;Mujeres;110
De 45 a 49 años;Extranjera;Ambos sexos;37
De 45 a 49 años;Extranjera;Hombres;27
De 45 a 49 años;Extranjera;Mujeres;10
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;438
De 50 a 54 años;Total;Hombres;344
De 50 a 54 años;Total;Mujeres;94
De 50 a 54 años;Española;Ambos sexos;408
De 50 a 54 años;Española;Hombres;319
De 50 a 54 años;Española;Mujeres;89
De 50 a 54 años;Extranjera;Ambos sexos;29
De 50 a 54 años;Extranjera;Hombres;24
De 50 a 54 años;Extranjera;Mujeres;5
De 50 a 54 años;No consta;Ambos sexos;1
De 50 a 54 años;No consta;Hombres;1
De 50 a 54 años;No consta;Mujeres;0
De 55 a 59 años;Total;Ambos sexos;313
De 55 a 59 años;Total;Hombres;236
De 55 a 59 años;Total;Mujeres;77
De 55 a 59 años;Española;Ambos sexos;287
De 55 a 59 años;Española;Hombres;215
De 55 a 59 años;Española;Mujeres;72
De 55 a 59 años;Extranjera;Ambos sexos;25
De 55 a 59 años;Extranjera;Hombres;20
De 55 a 59 años;Extranjera;Mujeres;5
De 55 a 59 años;No consta;Ambos sexos;1
De 55 a 59 años;No consta;Hombres;1
De 55 a 59 años;No consta;Mujeres;0
De 60 a 64 años;Total;Ambos sexos;268
De 60 a 64 años;Total;Hombres;190
De 60 a 64 años;Total;Mujeres;78
De 60 a 64 años;Española;Ambos sexos;253
De 60 a 64 años;Española;Hombres;179
De 60 a 64 años;Española;Mujeres;74
De 60 a 64 años;Extranjera;Ambos sexos;15
De 60 a 64 años;Extranjera;Hombres;11
De 60 a 64 años;Extranjera;Mujeres;4
De 60 a 64 años;No consta;Ambos sexos;0
De 60 a 64 años;No consta;Hombres;0
De 60 a 64 años;No consta;Mujeres;0
De 65 a 69 años;Total;Ambos sexos;256
De 65 a 69 años;Total;Hombres;175
De 65 a 69 años;Total;Mujeres;81
De 65 a 69 años;Española;Ambos sexos;242
De 65 a 69 años;Española;Hombres;167
De 65 a 69 años;Española;Mujeres;75
De 65 a 69 años;Extranjera;Ambos sexos;14
De 65 a 69 años;Extranjera;Hombres;8
De 65 a 69 años;Extranjera;Mujeres;6
De 65 a 69 años;No consta;Ambos sexos;0
De 65 a 69 años;No consta;Hombres;0
De 65 a 69 años;No consta;Mujeres;0
De 70 a 74 años;Total;Ambos sexos;215
De 70 a 74 años;Total;Hombres;158
De 70 a 74 años;Total;Mujeres;57
De 70 a 74 años;Española;Ambos sexos;207
De 70 a 74 años;Española;Hombres;151
De 70 a 74 años;Española;Mujeres;56
De 70 a 74 años;Extranjera;Ambos sexos;8
De 70 a 74 años;Extranjera;Hombres;7
De 70 a 74 años;Extranjera;Mujeres;1
De 70 a 74 años;No consta;Ambos sexos;0
De 70 a 74 años;No consta;Hombres;0
De 70 a 74 años;No consta;Mujeres;0
De 75 a 79 años;Total;Ambos sexos;246
De 75 a 79 años;Total;Hombres;194
De 75 a 79 años;Total;Mujeres;52
De 75 a 79 años;Española;Ambos sexos;237
De 75 a 79 años;Española;Hombres;186
De 75 a 79 años;Española;Mujeres;51
De 75 a 79 años;Extranjera;Ambos sexos;9
De 75 a 79 años;Extranjera;Hombres;8
De 75 a 79 años;Extranjera;Mujeres;1
De 75 a 79 años;No consta;Ambos sexos;0
De 75 a 79 años;No consta;Hombres;0
De 75 a 79 años;No consta;Mujeres;0
De 80 a 84 años;Total;Ambos sexos;232
De 80 a 84 años;Total;Hombres;184
De 80 a 84 años;Total;Mujeres;48
De 80 a 84 años;Española;Ambos sexos;226
De 80 a 84 años;Española;Hombres;179
De 80 a 84 años;Española;Mujeres;47
De 80 a 84 años;Extranjera;Ambos sexos;6
De 80 a 84 años;Extranjera;Hombres;5
De 80 a 84 años;Extranjera;Mujeres;1
De 80 a 84 años;No consta;Ambos sexos;0
De 80 a 84 años;No consta;Hombres;0
De 80 a 84 años;No consta;Mujeres;0
De 85 a 89 años;Total;Ambos sexos;189
De 85 a 89 años;Total;Hombres;152
De 85 a 89 años;Total;Mujeres;37
De 85 a 89 años;Española;Ambos sexos;187
De 85 a 89 años;Española;Hombres;151
De 85 a 89 años;Española;Mujeres;36
De 85 a 89 años;Extranjera;Ambos sexos;2
De 85 a 89 años;Extranjera;Hombres;1
De 85 a 89 años;Extranjera;Mujeres;1
De 85 a 89 años;No consta;Ambos sexos;0
De 85 a 89 años;No consta;Hombres;0
De 85 a 89 años;No consta;Mujeres;0
De 90 a 94 años;Total;Ambos sexos;69
De 90 a 94 años;Total;Hombres;50
De 90 a 94 años;Total;Mujeres;19
De 90 a 94 años;Española;Ambos sexos;65
De 90 a 94 años;Española;Hombres;47
De 90 a 94 años;Española;Mujeres;18
De 90 a 94 años;Extranjera;Ambos sexos;4
De 90 a 94 años;Extranjera;Hombres;3
De 90 a 94 años;Extranjera;Mujeres;1
De 90 a 94 años;No consta;Ambos sexos;0
De 90 a 94 años;No consta;Hombres;0
De 90 a 94 años;No consta;Mujeres;0
De 95 años y más;Total;Ambos sexos;8
De 95 años y más;Total;Hombres;7
De 95 años y más;Total;Mujeres;1
De 95 años y más;Española;Ambos sexos;7
De 95 años y más;Española;Hombres;6
De 95 años y más;Española;Mujeres;1
De 95 años y más;Extranjera;Ambos sexos;1
De 95 años y más;Extranjera;Hombres;1
De 95 años y más;Extranjera;Mujeres;0
De 95 años y más;No consta;Ambos sexos;0
De 95 años y más;No consta;Hombres;0
De 95 años y más;No consta;Mujeres;0
