Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;;Ambos sexos;Todas las edades;3.910
Total Nacional;;Ambos sexos;Menores de 15 años;10
Total Nacional;;Ambos sexos;De 15 a 29 años;319
Total Nacional;;Ambos sexos;De 30 a 39 años;504
Total Nacional;;Ambos sexos;De 40 a 44 años;386
Total Nacional;;Ambos sexos;De 45 a 49 años;457
Total Nacional;;Ambos sexos;De 50 a 54 años;438
Total Nacional;;Ambos sexos;De 55 a 59 años;313
Total Nacional;;Ambos sexos;De 60 a 64 años;268
Total Nacional;;Ambos sexos;De 65 a 69 años;256
Total Nacional;;Ambos sexos;De 70 a 74 años;215
Total Nacional;;Ambos sexos;De 75 a 79 años;246
Total Nacional;;Ambos sexos;De 80 a 84 años;232
Total Nacional;;Ambos sexos;De 85 a 89 años;189
Total Nacional;;Ambos sexos;De 90 a 94 años;69
Total Nacional;;Ambos sexos;De 95 años y más;8
Total Nacional;;Hombres;Todas las edades;2.938
Total Nacional;;Hombres;Menores de 15 años;4
Total Nacional;;Hombres;De 15 a 29 años;239
Total Nacional;;Hombres;De 30 a 39 años;375
Total Nacional;;Hombres;De 40 a 44 años;293
Total Nacional;;Hombres;De 45 a 49 años;337
Total Nacional;;Hombres;De 50 a 54 años;344
Total Nacional;;Hombres;De 55 a 59 años;236
Total Nacional;;Hombres;De 60 a 64 años;190
Total Nacional;;Hombres;De 65 a 69 años;175
Total Nacional;;Hombres;De 70 a 74 años;158
Total Nacional;;Hombres;De 75 a 79 años;194
Total Nacional;;Hombres;De 80 a 84 años;184
Total Nacional;;Hombres;De 85 a 89 años;152
Total Nacional;;Hombres;De 90 a 94 años;50
Total Nacional;;Hombres;De 95 años y más;7
Total Nacional;;Mujeres;Todas las edades;972
Total Nacional;;Mujeres;Menores de 15 años;6
Total Nacional;;Mujeres;De 15 a 29 años;80
Total Nacional;;Mujeres;De 30 a 39 años;129
Total Nacional;;Mujeres;De 40 a 44 años;93
Total Nacional;;Mujeres;De 45 a 49 años;120
Total Nacional;;Mujeres;De 50 a 54 años;94
Total Nacional;;Mujeres;De 55 a 59 años;77
Total Nacional;;Mujeres;De 60 a 64 años;78
Total Nacional;;Mujeres;De 65 a 69 años;81
Total Nacional;;Mujeres;De 70 a 74 años;57
Total Nacional;;Mujeres;De 75 a 79 años;52
Total Nacional;;Mujeres;De 80 a 84 años;48
Total Nacional;;Mujeres;De 85 a 89 años;37
Total Nacional;;Mujeres;De 90 a 94 años;19
Total Nacional;;Mujeres;De 95 años y más;1
Total Nacional;01 Andalucía;Ambos sexos;Todas las edades;784
Total Nacional;01 Andalucía;Ambos sexos;Menores de 15 años;2
Total Nacional;01 Andalucía;Ambos sexos;De 15 a 29 años;54
Total Nacional;01 Andalucía;Ambos sexos;De 30 a 39 años;89
Total Nacional;01 Andalucía;Ambos sexos;De 40 a 44 años;73
Total Nacional;01 Andalucía;Ambos sexos;De 45 a 49 años;92
Total Nacional;01 Andalucía;Ambos sexos;De 50 a 54 años;100
Total Nacional;01 Andalucía;Ambos sexos;De 55 a 59 años;77
