Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;3.539
Todos los meses;Ambos sexos;Menores de 15 años;7
Todos los meses;Ambos sexos;De 15 a 29 años;268
Todos los meses;Ambos sexos;De 30 a 39 años;396
Todos los meses;Ambos sexos;De 40 a 44 años;315
Todos los meses;Ambos sexos;De 45 a 49 años;393
Todos los meses;Ambos sexos;De 50 a 54 años;377
Todos los meses;Ambos sexos;De 55 a 59 años;381
Todos los meses;Ambos sexos;De 60 a 64 años;273
Todos los meses;Ambos sexos;De 65 a 69 años;239
Todos los meses;Ambos sexos;De 70 a 74 años;230
Todos los meses;Ambos sexos;De 75 a 79 años;173
Todos los meses;Ambos sexos;De 80 a 84 años;228
Todos los meses;Ambos sexos;De 85 a 89 años;175
Todos los meses;Ambos sexos;De 90 a 94 años;73
Todos los meses;Ambos sexos;De 95 años y más;11
Todos los meses;Hombres;Todas las edades;2.619
Todos los meses;Hombres;Menores de 15 años;4
Todos los meses;Hombres;De 15 a 29 años;203
Todos los meses;Hombres;De 30 a 39 años;309
Todos los meses;Hombres;De 40 a 44 años;236
Todos los meses;Hombres;De 45 a 49 años;298
Todos los meses;Hombres;De 50 a 54 años;280
Todos los meses;Hombres;De 55 a 59 años;275
Todos los meses;Hombres;De 60 a 64 años;196
Todos los meses;Hombres;De 65 a 69 años;164
Todos los meses;Hombres;De 70 a 74 años;160
Todos los meses;Hombres;De 75 a 79 años;129
Todos los meses;Hombres;De 80 a 84 años;167
Todos los meses;Hombres;De 85 a 89 años;134
Todos los meses;Hombres;De 90 a 94 años;56
Todos los meses;Hombres;De 95 años y más;8
Todos los meses;Mujeres;Todas las edades;920
Todos los meses;Mujeres;Menores de 15 años;3
Todos los meses;Mujeres;De 15 a 29 años;65
Todos los meses;Mujeres;De 30 a 39 años;87
Todos los meses;Mujeres;De 40 a 44 años;79
Todos los meses;Mujeres;De 45 a 49 años;95
Todos los meses;Mujeres;De 50 a 54 años;97
Todos los meses;Mujeres;De 55 a 59 años;106
Todos los meses;Mujeres;De 60 a 64 años;77
Todos los meses;Mujeres;De 65 a 69 años;75
Todos los meses;Mujeres;De 70 a 74 años;70
Todos los meses;Mujeres;De 75 a 79 años;44
Todos los meses;Mujeres;De 80 a 84 años;61
Todos los meses;Mujeres;De 85 a 89 años;41
Todos los meses;Mujeres;De 90 a 94 años;17
Todos los meses;Mujeres;De 95 años y más;3
enero;Ambos sexos;Todas las edades;282
enero;Ambos sexos;Menores de 15 años;1
enero;Ambos sexos;De 15 a 29 años;19
enero;Ambos sexos;De 30 a 39 años;25
enero;Ambos sexos;De 40 a 44 años;32
enero;Ambos sexos;De 45 a 49 años;26
enero;Ambos sexos;De 50 a 54 años;41
enero;Ambos sexos;De 55 a 59 años;29
enero;Ambos sexos;De 60 a 64 años;23
enero;Ambos sexos;De 65 a 69 años;18
enero;Ambos sexos;De 70 a 74 años;12
enero;Ambos sexos;De 75 a 79 años;14
enero;Ambos sexos;De 80 a 84 años;24
enero;Ambos sexos;De 85 a 89 años;13
enero;Ambos sexos;De 90 a 94 años;5
enero;Ambos sexos;De 95 años y más;0
enero;Hombres;Todas las edades;205
enero;Hombres;Menores de 15 años;0
enero;Hombres;De 15 a 29 años;14
enero;Hombres;De 30 a 39 años;14
enero;Hombres;De 40 a 44 años;24
enero;Hombres;De 45 a 49 años;24
enero;Hombres;De 50 a 54 años;28
enero;Hombres;De 55 a 59 años;20
enero;Hombres;De 60 a 64 años;15
enero;Hombres;De 65 a 69 años;13
enero;Hombres;De 70 a 74 años;7
enero;Hombres;De 75 a 79 años;14
enero;Hombres;De 80 a 84 años;17
enero;Hombres;De 85 a 89 años;10
enero;Hombres;De 90 a 94 años;5
enero;Hombres;De 95 años y más;0
enero;Mujeres;Todas las edades;77
enero;Mujeres;Menores de 15 años;1
enero;Mujeres;De 15 a 29 años;5
enero;Mujeres;De 30 a 39 años;11
enero;Mujeres;De 40 a 44 años;8
enero;Mujeres;De 45 a 49 años;2
enero;Mujeres;De 50 a 54 años;13
enero;Mujeres;De 55 a 59 años;9
enero;Mujeres;De 60 a 64 años;8
enero;Mujeres;De 65 a 69 años;5
enero;Mujeres;De 70 a 74 años;5
enero;Mujeres;De 75 a 79 años;0
enero;Mujeres;De 80 a 84 años;7
enero;Mujeres;De 85 a 89 años;3
enero;Mujeres;De 90 a 94 años;0
enero;Mujeres;De 95 años y más;0
febrero;Ambos sexos;Todas las edades;279
febrero;Ambos sexos;Menores de 15 años;0
febrero;Ambos sexos;De 15 a 29 años;24
febrero;Ambos sexos;De 30 a 39 años;39
febrero;Ambos sexos;De 40 a 44 años;22
febrero;Ambos sexos;De 45 a 49 años;24
febrero;Ambos sexos;De 50 a 54 años;23
febrero;Ambos sexos;De 55 a 59 años;28
febrero;Ambos sexos;De 60 a 64 años;25
febrero;Ambos sexos;De 65 a 69 años;23
febrero;Ambos sexos;De 70 a 74 años;13
febrero;Ambos sexos;De 75 a 79 años;12
febrero;Ambos sexos;De 80 a 84 años;20
febrero;Ambos sexos;De 85 a 89 años;18
febrero;Ambos sexos;De 90 a 94 años;8
febrero;Ambos sexos;De 95 años y más;0
febrero;Hombres;Todas las edades;203
febrero;Hombres;Menores de 15 años;0
febrero;Hombres;De 15 a 29 años;21
febrero;Hombres;De 30 a 39 años;27
febrero;Hombres;De 40 a 44 años;18
febrero;Hombres;De 45 a 49 años;17
febrero;Hombres;De 50 a 54 años;18
febrero;Hombres;De 55 a 59 años;25
febrero;Hombres;De 60 a 64 años;16
febrero;Hombres;De 65 a 69 años;12
febrero;Hombres;De 70 a 74 años;9
febrero;Hombres;De 75 a 79 años;7
febrero;Hombres;De 80 a 84 años;15
febrero;Hombres;De 85 a 89 años;12
febrero;Hombres;De 90 a 94 años;6
febrero;Hombres;De 95 años y más;0
febrero;Mujeres;Todas las edades;76
febrero;Mujeres;Menores de 15 años;0
febrero;Mujeres;De 15 a 29 años;3
febrero;Mujeres;De 30 a 39 años;12
febrero;Mujeres;De 40 a 44 años;4
febrero;Mujeres;De 45 a 49 años;7
febrero;Mujeres;De 50 a 54 años;5
febrero;Mujeres;De 55 a 59 años;3
febrero;Mujeres;De 60 a 64 años;9
febrero;Mujeres;De 65 a 69 años;11
febrero;Mujeres;De 70 a 74 años;4
febrero;Mujeres;De 75 a 79 años;5
