Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;3.941
Todas las edades;Total;Hombres;2.930
Todas las edades;Total;Mujeres;1.011
Todas las edades;Española;Ambos sexos;3.562
Todas las edades;Española;Hombres;2.653
Todas las edades;Española;Mujeres;909
Todas las edades;Extranjera;Ambos sexos;377
Todas las edades;Extranjera;Hombres;275
Todas las edades;Extranjera;Mujeres;102
Todas las edades;No consta;Ambos sexos;2
Todas las edades;No consta;Hombres;2
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;14
Menores de 15 años;Total;Hombres;7
Menores de 15 años;Total;Mujeres;7
Menores de 15 años;Española;Ambos sexos;14
Menores de 15 años;Española;Hombres;7
Menores de 15 años;Española;Mujeres;7
Menores de 15 años;Extranjera;Ambos sexos;0
Menores de 15 años;Extranjera;Hombres;0
Menores de 15 años;Extranjera;Mujeres;0
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;300
De 15 a 29 años;Total;Hombres;227
De 15 a 29 años;Total;Mujeres;73
De 15 a 29 años;Española;Ambos sexos;227
De 15 a 29 años;Española;Hombres;174
De 15 a 29 años;Española;Mujeres;53
De 15 a 29 años;Extranjera;Ambos sexos;72
De 15 a 29 años;Extranjera;Hombres;52
De 15 a 29 años;Extranjera;Mujeres;20
De 15 a 29 años;No consta;Ambos sexos;1
De 15 a 29 años;No consta;Hombres;1
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;411
De 30 a 39 años;Total;Hombres;313
De 30 a 39 años;Total;Mujeres;98
De 30 a 39 años;Española;Ambos sexos;321
De 30 a 39 años;Española;Hombres;250
De 30 a 39 años;Española;Mujeres;71
De 30 a 39 años;Extranjera;Ambos sexos;89
De 30 a 39 años;Extranjera;Hombres;62
De 30 a 39 años;Extranjera;Mujeres;27
De 30 a 39 años;No consta;Ambos sexos;1
De 30 a 39 años;No consta;Hombres;1
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;358
De 40 a 44 años;Total;Hombres;275
De 40 a 44 años;Total;Mujeres;83
De 40 a 44 años;Española;Ambos sexos;313
De 40 a 44 años;Española;Hombres;240
De 40 a 44 años;Española;Mujeres;73
De 40 a 44 años;Extranjera;Ambos sexos;45
De 40 a 44 años;Extranjera;Hombres;35
De 40 a 44 años;Extranjera;Mujeres;10
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;396
De 45 a 49 años;Total;Hombres;301
De 45 a 49 años;Total;Mujeres;95
De 45 a 49 años;Española;Ambos sexos;353
De 45 a 49 años;Española;Hombres;268
De 45 a 49 años;Española;Mujeres;85
De 45 a 49 años;Extranjera;Ambos sexos;43
De 45 a 49 años;Extranjera;Hombres;33
De 45 a 49 años;Extranjera;Mujeres;10
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;440
De 50 a 54 años;Total;Hombres;323
De 50 a 54 años;Total;Mujeres;117
De 50 a 54 años;Española;Ambos sexos;403
De 50 a 54 años;Española;Hombres;299
De 50 a 54 años;Española;Mujeres;104
De 50 a 54 años;Extranjera;Ambos sexos;37
De 50 a 54 años;Extranjera;Hombres;24
De 50 a 54 años;Extranjera;Mujeres;13
De 50 a 54 años;No consta;Ambos sexos;0
De 50 a 54 años;No consta;Hombres;0
De 50 a 54 años;No consta;Mujeres;0
De 55 a 59 años;Total;Ambos sexos;414
De 55 a 59 años;Total;Hombres;277
De 55 a 59 años;Total;Mujeres;137
De 55 a 59 años;Española;Ambos sexos;392
De 55 a 59 años;Española;Hombres;261
