Mes de defunción;Sexo;Edad;Total
Todos los meses;Ambos sexos;Todas las edades;4.227
Todos los meses;Ambos sexos;Menores de 15 años;12
Todos los meses;Ambos sexos;De 15 a 29 años;341
Todos los meses;Ambos sexos;De 30 a 39 años;436
Todos los meses;Ambos sexos;De 40 a 44 años;350
Todos los meses;Ambos sexos;De 45 a 49 años;444
Todos los meses;Ambos sexos;De 50 a 54 años;486
Todos los meses;Ambos sexos;De 55 a 59 años;479
Todos los meses;Ambos sexos;De 60 a 64 años;385
Todos los meses;Ambos sexos;De 65 a 69 años;278
Todos los meses;Ambos sexos;De 70 a 74 años;275
Todos los meses;Ambos sexos;De 75 a 79 años;212
Todos los meses;Ambos sexos;De 80 a 84 años;216
Todos los meses;Ambos sexos;De 85 a 89 años;194
Todos los meses;Ambos sexos;De 90 a 94 años;94
Todos los meses;Ambos sexos;De 95 años y más;25
Todos los meses;Hombres;Todas las edades;3.126
Todos los meses;Hombres;Menores de 15 años;9
Todos los meses;Hombres;De 15 a 29 años;224
Todos los meses;Hombres;De 30 a 39 años;336
Todos los meses;Hombres;De 40 a 44 años;273
Todos los meses;Hombres;De 45 a 49 años;332
Todos los meses;Hombres;De 50 a 54 años;352
Todos los meses;Hombres;De 55 a 59 años;354
Todos los meses;Hombres;De 60 a 64 años;297
Todos los meses;Hombres;De 65 a 69 años;197
Todos los meses;Hombres;De 70 a 74 años;188
Todos los meses;Hombres;De 75 a 79 años;162
Todos los meses;Hombres;De 80 a 84 años;155
Todos los meses;Hombres;De 85 a 89 años;159
Todos los meses;Hombres;De 90 a 94 años;72
Todos los meses;Hombres;De 95 años y más;16
Todos los meses;Mujeres;Todas las edades;1.101
Todos los meses;Mujeres;Menores de 15 años;3
Todos los meses;Mujeres;De 15 a 29 años;117
Todos los meses;Mujeres;De 30 a 39 años;100
Todos los meses;Mujeres;De 40 a 44 años;77
Todos los meses;Mujeres;De 45 a 49 años;112
Todos los meses;Mujeres;De 50 a 54 años;134
Todos los meses;Mujeres;De 55 a 59 años;125
Todos los meses;Mujeres;De 60 a 64 años;88
Todos los meses;Mujeres;De 65 a 69 años;81
Todos los meses;Mujeres;De 70 a 74 años;87
Todos los meses;Mujeres;De 75 a 79 años;50
Todos los meses;Mujeres;De 80 a 84 años;61
Todos los meses;Mujeres;De 85 a 89 años;35
Todos los meses;Mujeres;De 90 a 94 años;22
Todos los meses;Mujeres;De 95 años y más;9
enero;Ambos sexos;Todas las edades;350
enero;Ambos sexos;Menores de 15 años;0
enero;Ambos sexos;De 15 a 29 años;21
enero;Ambos sexos;De 30 a 39 años;32
enero;Ambos sexos;De 40 a 44 años;31
enero;Ambos sexos;De 45 a 49 años;40
enero;Ambos sexos;De 50 a 54 años;40
enero;Ambos sexos;De 55 a 59 años;41
enero;Ambos sexos;De 60 a 64 años;37
enero;Ambos sexos;De 65 a 69 años;21
enero;Ambos sexos;De 70 a 74 años;21
enero;Ambos sexos;De 75 a 79 años;21
enero;Ambos sexos;De 80 a 84 años;14
enero;Ambos sexos;De 85 a 89 años;19
enero;Ambos sexos;De 90 a 94 años;9
enero;Ambos sexos;De 95 años y más;3
enero;Hombres;Todas las edades;265
enero;Hombres;Menores de 15 años;0
enero;Hombres;De 15 a 29 años;12
enero;Hombres;De 30 a 39 años;25
enero;Hombres;De 40 a 44 años;26
enero;Hombres;De 45 a 49 años;27
enero;Hombres;De 50 a 54 años;28
enero;Hombres;De 55 a 59 años;32
enero;Hombres;De 60 a 64 años;33
enero;Hombres;De 65 a 69 años;15
enero;Hombres;De 70 a 74 años;13
enero;Hombres;De 75 a 79 años;16
enero;Hombres;De 80 a 84 años;10
enero;Hombres;De 85 a 89 años;17
