Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;02 Aragón;Ambos sexos;De 65 a 69 años;7
Total Nacional;02 Aragón;Ambos sexos;De 70 a 74 años;7
Total Nacional;02 Aragón;Ambos sexos;De 75 a 79 años;6
Total Nacional;02 Aragón;Ambos sexos;De 80 a 84 años;5
Total Nacional;02 Aragón;Ambos sexos;De 85 a 89 años;8
Total Nacional;02 Aragón;Ambos sexos;De 90 a 94 años;2
Total Nacional;02 Aragón;Ambos sexos;De 95 años y más;1
Total Nacional;02 Aragón;Hombres;Todas las edades;95
Total Nacional;02 Aragón;Hombres;Menores de 15 años;0
Total Nacional;02 Aragón;Hombres;De 15 a 29 años;5
Total Nacional;02 Aragón;Hombres;De 30 a 39 años;11
Total Nacional;02 Aragón;Hombres;De 40 a 44 años;12
Total Nacional;02 Aragón;Hombres;De 45 a 49 años;10
Total Nacional;02 Aragón;Hombres;De 50 a 54 años;10
Total Nacional;02 Aragón;Hombres;De 55 a 59 años;8
Total Nacional;02 Aragón;Hombres;De 60 a 64 años;8
Total Nacional;02 Aragón;Hombres;De 65 a 69 años;6
Total Nacional;02 Aragón;Hombres;De 70 a 74 años;6
Total Nacional;02 Aragón;Hombres;De 75 a 79 años;6
Total Nacional;02 Aragón;Hombres;De 80 a 84 años;4
Total Nacional;02 Aragón;Hombres;De 85 a 89 años;6
Total Nacional;02 Aragón;Hombres;De 90 a 94 años;2
Total Nacional;02 Aragón;Hombres;De 95 años y más;1
Total Nacional;02 Aragón;Mujeres;Todas las edades;25
Total Nacional;02 Aragón;Mujeres;Menores de 15 años;0
Total Nacional;02 Aragón;Mujeres;De 15 a 29 años;2
Total Nacional;02 Aragón;Mujeres;De 30 a 39 años;4
Total Nacional;02 Aragón;Mujeres;De 40 a 44 años;2
Total Nacional;02 Aragón;Mujeres;De 45 a 49 años;4
Total Nacional;02 Aragón;Mujeres;De 50 a 54 años;2
Total Nacional;02 Aragón;Mujeres;De 55 a 59 años;2
Total Nacional;02 Aragón;Mujeres;De 60 a 64 años;4
Total Nacional;02 Aragón;Mujeres;De 65 a 69 años;1
Total Nacional;02 Aragón;Mujeres;De 70 a 74 años;1
Total Nacional;02 Aragón;Mujeres;De 75 a 79 años;0
Total Nacional;02 Aragón;Mujeres;De 80 a 84 años;1
Total Nacional;02 Aragón;Mujeres;De 85 a 89 años;2
Total Nacional;02 Aragón;Mujeres;De 90 a 94 años;0
Total Nacional;02 Aragón;Mujeres;De 95 años y más;0
Total Nacional;03 Asturias, Principado de;Ambos sexos;Todas las edades;138
Total Nacional;03 Asturias, Principado de;Ambos sexos;Menores de 15 años;0
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 15 a 29 años;5
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 30 a 39 años;8
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 40 a 44 años;9
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 45 a 49 años;14
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 50 a 54 años;12
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 55 a 59 años;12
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 60 a 64 años;11
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 65 a 69 años;10
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 70 a 74 años;14
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 75 a 79 años;7
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 80 a 84 años;17
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 85 a 89 años;13
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 90 a 94 años;5
Total Nacional;03 Asturias, Principado de;Ambos sexos;De 95 años y más;1
Total Nacional;03 Asturias, Principado de;Hombres;Todas las edades;97
Total Nacional;03 Asturias, Principado de;Hombres;Menores de 15 años;0
Total Nacional;03 Asturias, Principado de;Hombres;De 15 a 29 años;4
Total Nacional;03 Asturias, Principado de;Hombres;De 30 a 39 años;7
Total Nacional;03 Asturias, Principado de;Hombres;De 40 a 44 años;6
Total Nacional;03 Asturias, Principado de;Hombres;De 45 a 49 años;5
Total Nacional;03 Asturias, Principado de;Hombres;De 50 a 54 años;8
Total Nacional;03 Asturias, Principado de;Hombres;De 55 a 59 años;7
Total Nacional;03 Asturias, Principado de;Hombres;De 60 a 64 años;7
Total Nacional;03 Asturias, Principado de;Hombres;De 65 a 69 años;9
Total Nacional;03 Asturias, Principado de;Hombres;De 70 a 74 años;9
Total Nacional;03 Asturias, Principado de;Hombres;De 75 a 79 años;6
Total Nacional;03 Asturias, Principado de;Hombres;De 80 a 84 años;13
Total Nacional;03 Asturias, Principado de;Hombres;De 85 a 89 años;11
Total Nacional;03 Asturias, Principado de;Hombres;De 90 a 94 años;4
Total Nacional;03 Asturias, Principado de;Hombres;De 95 años y más;1
Total Nacional;03 Asturias, Principado de;Mujeres;Todas las edades;41
Total Nacional;03 Asturias, Principado de;Mujeres;Menores de 15 años;0
Total Nacional;03 Asturias, Principado de;Mujeres;De 15 a 29 años;1
Total Nacional;03 Asturias, Principado de;Mujeres;De 30 a 39 años;1
Total Nacional;03 Asturias, Principado de;Mujeres;De 40 a 44 años;3
Total Nacional;03 Asturias, Principado de;Mujeres;De 45 a 49 años;9
Total Nacional;03 Asturias, Principado de;Mujeres;De 50 a 54 años;4
Total Nacional;03 Asturias, Principado de;Mujeres;De 55 a 59 años;5
Total Nacional;03 Asturias, Principado de;Mujeres;De 60 a 64 años;4
Total Nacional;03 Asturias, Principado de;Mujeres;De 65 a 69 años;1
Total Nacional;03 Asturias, Principado de;Mujeres;De 70 a 74 años;5
Total Nacional;03 Asturias, Principado de;Mujeres;De 75 a 79 años;1
Total Nacional;03 Asturias, Principado de;Mujeres;De 80 a 84 años;4
Total Nacional;03 Asturias, Principado de;Mujeres;De 85 a 89 años;2
Total Nacional;03 Asturias, Principado de;Mujeres;De 90 a 94 años;1
Total Nacional;03 Asturias, Principado de;Mujeres;De 95 años y más;0
Total Nacional;04 Balears, Illes;Ambos sexos;Todas las edades;71
Total Nacional;04 Balears, Illes;Ambos sexos;Menores de 15 años;0
Total Nacional;04 Balears, Illes;Ambos sexos;De 15 a 29 años;12
Total Nacional;04 Balears, Illes;Ambos sexos;De 30 a 39 años;9
Total Nacional;04 Balears, Illes;Ambos sexos;De 40 a 44 años;5
Total Nacional;04 Balears, Illes;Ambos sexos;De 45 a 49 años;12
Total Nacional;04 Balears, Illes;Ambos sexos;De 50 a 54 años;7
Total Nacional;04 Balears, Illes;Ambos sexos;De 55 a 59 años;4
Total Nacional;04 Balears, Illes;Ambos sexos;De 60 a 64 años;4
Total Nacional;04 Balears, Illes;Ambos sexos;De 65 a 69 años;4
Total Nacional;04 Balears, Illes;Ambos sexos;De 70 a 74 años;6
Total Nacional;04 Balears, Illes;Ambos sexos;De 75 a 79 años;3
Total Nacional;04 Balears, Illes;Ambos sexos;De 80 a 84 años;2
Total Nacional;04 Balears, Illes;Ambos sexos;De 85 a 89 años;3
Total Nacional;04 Balears, Illes;Ambos sexos;De 90 a 94 años;0
Total Nacional;04 Balears, Illes;Ambos sexos;De 95 años y más;0
Total Nacional;04 Balears, Illes;Hombres;Todas las edades;54
Total Nacional;04 Balears, Illes;Hombres;Menores de 15 años;0
Total Nacional;04 Balears, Illes;Hombres;De 15 a 29 años;7
Total Nacional;04 Balears, Illes;Hombres;De 30 a 39 años;7
Total Nacional;04 Balears, Illes;Hombres;De 40 a 44 años;4
Total Nacional;04 Balears, Illes;Hombres;De 45 a 49 años;11
Total Nacional;04 Balears, Illes;Hombres;De 50 a 54 años;6
Total Nacional;04 Balears, Illes;Hombres;De 55 a 59 años;2
Total Nacional;04 Balears, Illes;Hombres;De 60 a 64 años;3
Total Nacional;04 Balears, Illes;Hombres;De 65 a 69 años;3
Total Nacional;04 Balears, Illes;Hombres;De 70 a 74 años;6
Total Nacional;04 Balears, Illes;Hombres;De 75 a 79 años;2
Total Nacional;04 Balears, Illes;Hombres;De 80 a 84 años;1
Total Nacional;04 Balears, Illes;Hombres;De 85 a 89 años;2
Total Nacional;04 Balears, Illes;Hombres;De 90 a 94 años;0
Total Nacional;04 Balears, Illes;Hombres;De 95 años y más;0
Total Nacional;04 Balears, Illes;Mujeres;Todas las edades;17
Total Nacional;04 Balears, Illes;Mujeres;Menores de 15 años;0
Total Nacional;04 Balears, Illes;Mujeres;De 15 a 29 años;5
Total Nacional;04 Balears, Illes;Mujeres;De 30 a 39 años;2
Total Nacional;04 Balears, Illes;Mujeres;De 40 a 44 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 45 a 49 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 50 a 54 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 55 a 59 años;2
Total Nacional;04 Balears, Illes;Mujeres;De 60 a 64 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 65 a 69 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 70 a 74 años;0
Total Nacional;04 Balears, Illes;Mujeres;De 75 a 79 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 80 a 84 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 85 a 89 años;1
Total Nacional;04 Balears, Illes;Mujeres;De 90 a 94 años;0
Total Nacional;04 Balears, Illes;Mujeres;De 95 años y más;0
Total Nacional;05 Canarias;Ambos sexos;Todas las edades;193
Total Nacional;05 Canarias;Ambos sexos;Menores de 15 años;0
Total Nacional;05 Canarias;Ambos sexos;De 15 a 29 años;11
Total Nacional;05 Canarias;Ambos sexos;De 30 a 39 años;33
Total Nacional;05 Canarias;Ambos sexos;De 40 a 44 años;21
Total Nacional;05 Canarias;Ambos sexos;De 45 a 49 años;26
Total Nacional;05 Canarias;Ambos sexos;De 50 a 54 años;20
Total Nacional;05 Canarias;Ambos sexos;De 55 a 59 años;17
Total Nacional;05 Canarias;Ambos sexos;De 60 a 64 años;26
Total Nacional;05 Canarias;Ambos sexos;De 65 a 69 años;10
Total Nacional;05 Canarias;Ambos sexos;De 70 a 74 años;11
Total Nacional;05 Canarias;Ambos sexos;De 75 a 79 años;6
Total Nacional;05 Canarias;Ambos sexos;De 80 a 84 años;6
Total Nacional;05 Canarias;Ambos sexos;De 85 a 89 años;3
Total Nacional;05 Canarias;Ambos sexos;De 90 a 94 años;3
Total Nacional;05 Canarias;Ambos sexos;De 95 años y más;0
Total Nacional;05 Canarias;Hombres;Todas las edades;154
Total Nacional;05 Canarias;Hombres;Menores de 15 años;0
Total Nacional;05 Canarias;Hombres;De 15 a 29 años;9
Total Nacional;05 Canarias;Hombres;De 30 a 39 años;27
Total Nacional;05 Canarias;Hombres;De 40 a 44 años;19
Total Nacional;05 Canarias;Hombres;De 45 a 49 años;25
Total Nacional;05 Canarias;Hombres;De 50 a 54 años;15
Total Nacional;05 Canarias;Hombres;De 55 a 59 años;17
Total Nacional;05 Canarias;Hombres;De 60 a 64 años;18
Total Nacional;05 Canarias;Hombres;De 65 a 69 años;5
Total Nacional;05 Canarias;Hombres;De 70 a 74 años;7
Total Nacional;05 Canarias;Hombres;De 75 a 79 años;5
Total Nacional;05 Canarias;Hombres;De 80 a 84 años;3
Total Nacional;05 Canarias;Hombres;De 85 a 89 años;2
Total Nacional;05 Canarias;Hombres;De 90 a 94 años;2
Total Nacional;05 Canarias;Hombres;De 95 años y más;0
Total Nacional;05 Canarias;Mujeres;Todas las edades;39
Total Nacional;05 Canarias;Mujeres;Menores de 15 años;0
Total Nacional;05 Canarias;Mujeres;De 15 a 29 años;2
Total Nacional;05 Canarias;Mujeres;De 30 a 39 años;6
