Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;05 Canarias;Mujeres;De 40 a 44 años;2
Total Nacional;05 Canarias;Mujeres;De 45 a 49 años;1
Total Nacional;05 Canarias;Mujeres;De 50 a 54 años;5
Total Nacional;05 Canarias;Mujeres;De 55 a 59 años;0
Total Nacional;05 Canarias;Mujeres;De 60 a 64 años;8
Total Nacional;05 Canarias;Mujeres;De 65 a 69 años;5
Total Nacional;05 Canarias;Mujeres;De 70 a 74 años;4
Total Nacional;05 Canarias;Mujeres;De 75 a 79 años;1
Total Nacional;05 Canarias;Mujeres;De 80 a 84 años;3
Total Nacional;05 Canarias;Mujeres;De 85 a 89 años;1
Total Nacional;05 Canarias;Mujeres;De 90 a 94 años;1
Total Nacional;05 Canarias;Mujeres;De 95 años y más;0
Total Nacional;06 Cantabria;Ambos sexos;Todas las edades;28
Total Nacional;06 Cantabria;Ambos sexos;Menores de 15 años;0
Total Nacional;06 Cantabria;Ambos sexos;De 15 a 29 años;1
Total Nacional;06 Cantabria;Ambos sexos;De 30 a 39 años;4
Total Nacional;06 Cantabria;Ambos sexos;De 40 a 44 años;1
Total Nacional;06 Cantabria;Ambos sexos;De 45 a 49 años;4
Total Nacional;06 Cantabria;Ambos sexos;De 50 a 54 años;3
Total Nacional;06 Cantabria;Ambos sexos;De 55 a 59 años;8
Total Nacional;06 Cantabria;Ambos sexos;De 60 a 64 años;1
Total Nacional;06 Cantabria;Ambos sexos;De 65 a 69 años;1
Total Nacional;06 Cantabria;Ambos sexos;De 70 a 74 años;2
Total Nacional;06 Cantabria;Ambos sexos;De 75 a 79 años;3
Total Nacional;06 Cantabria;Ambos sexos;De 80 a 84 años;0
Total Nacional;06 Cantabria;Ambos sexos;De 85 a 89 años;0
Total Nacional;06 Cantabria;Ambos sexos;De 90 a 94 años;0
Total Nacional;06 Cantabria;Ambos sexos;De 95 años y más;0
Total Nacional;06 Cantabria;Hombres;Todas las edades;23
Total Nacional;06 Cantabria;Hombres;Menores de 15 años;0
Total Nacional;06 Cantabria;Hombres;De 15 a 29 años;1
Total Nacional;06 Cantabria;Hombres;De 30 a 39 años;4
Total Nacional;06 Cantabria;Hombres;De 40 a 44 años;1
Total Nacional;06 Cantabria;Hombres;De 45 a 49 años;3
Total Nacional;06 Cantabria;Hombres;De 50 a 54 años;3
Total Nacional;06 Cantabria;Hombres;De 55 a 59 años;6
Total Nacional;06 Cantabria;Hombres;De 60 a 64 años;1
Total Nacional;06 Cantabria;Hombres;De 65 a 69 años;1
Total Nacional;06 Cantabria;Hombres;De 70 a 74 años;1
Total Nacional;06 Cantabria;Hombres;De 75 a 79 años;2
Total Nacional;06 Cantabria;Hombres;De 80 a 84 años;0
Total Nacional;06 Cantabria;Hombres;De 85 a 89 años;0
Total Nacional;06 Cantabria;Hombres;De 90 a 94 años;0
Total Nacional;06 Cantabria;Hombres;De 95 años y más;0
Total Nacional;06 Cantabria;Mujeres;Todas las edades;5
Total Nacional;06 Cantabria;Mujeres;Menores de 15 años;0
Total Nacional;06 Cantabria;Mujeres;De 15 a 29 años;0
