Edad;Nacionalidad;Sexo;Total
De 70 a 74 años;Extranjera;Ambos sexos;19
De 70 a 74 años;Extranjera;Hombres;13
De 70 a 74 años;Extranjera;Mujeres;6
De 70 a 74 años;No consta;Ambos sexos;0
De 70 a 74 años;No consta;Hombres;0
De 70 a 74 años;No consta;Mujeres;0
De 75 a 79 años;Total;Ambos sexos;212
De 75 a 79 años;Total;Hombres;162
De 75 a 79 años;Total;Mujeres;50
De 75 a 79 años;Española;Ambos sexos;206
De 75 a 79 años;Española;Hombres;157
De 75 a 79 años;Española;Mujeres;49
De 75 a 79 años;Extranjera;Ambos sexos;6
De 75 a 79 años;Extranjera;Hombres;5
De 75 a 79 años;Extranjera;Mujeres;1
De 75 a 79 años;No consta;Ambos sexos;0
De 75 a 79 años;No consta;Hombres;0
De 75 a 79 años;No consta;Mujeres;0
De 80 a 84 años;Total;Ambos sexos;216
De 80 a 84 años;Total;Hombres;155
De 80 a 84 años;Total;Mujeres;61
De 80 a 84 años;Española;Ambos sexos;205
De 80 a 84 años;Española;Hombres;146
De 80 a 84 años;Española;Mujeres;59
De 80 a 84 años;Extranjera;Ambos sexos;11
De 80 a 84 años;Extranjera;Hombres;9
De 80 a 84 años;Extranjera;Mujeres;2
De 80 a 84 años;No consta;Ambos sexos;0
De 80 a 84 años;No consta;Hombres;0
De 80 a 84 años;No consta;Mujeres;0
De 85 a 89 años;Total;Ambos sexos;194
De 85 a 89 años;Total;Hombres;159
De 85 a 89 años;Total;Mujeres;35
De 85 a 89 años;Española;Ambos sexos;186
De 85 a 89 años;Española;Hombres;152
De 85 a 89 años;Española;Mujeres;34
De 85 a 89 años;Extranjera;Ambos sexos;8
De 85 a 89 años;Extranjera;Hombres;7
De 85 a 89 años;Extranjera;Mujeres;1
De 85 a 89 años;No consta;Ambos sexos;0
De 85 a 89 años;No consta;Hombres;0
De 85 a 89 años;No consta;Mujeres;0
De 90 a 94 años;Total;Ambos sexos;94
De 90 a 94 años;Total;Hombres;72
De 90 a 94 años;Total;Mujeres;22
De 90 a 94 años;Española;Ambos sexos;92
De 90 a 94 años;Española;Hombres;70
De 90 a 94 años;Española;Mujeres;22
De 90 a 94 años;Extranjera;Ambos sexos;2
De 90 a 94 años;Extranjera;Hombres;2
De 90 a 94 años;Extranjera;Mujeres;0
De 90 a 94 años;No consta;Ambos sexos;0
De 90 a 94 años;No consta;Hombres;0
De 90 a 94 años;No consta;Mujeres;0
De 95 años y más;Total;Ambos sexos;25
De 95 años y más;Total;Hombres;16
De 95 años y más;Total;Mujeres;9
De 95 años y más;Española;Ambos sexos;25
De 95 años y más;Española;Hombres;16
De 95 años y más;Española;Mujeres;9
De 95 años y más;Extranjera;Ambos sexos;0
De 95 años y más;Extranjera;Hombres;0
De 95 años y más;Extranjera;Mujeres;0
De 95 años y más;No consta;Ambos sexos;0
De 95 años y más;No consta;Hombres;0
De 95 años y más;No consta;Mujeres;0
