Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;;Ambos sexos;Todas las edades;4.003
Total Nacional;;Ambos sexos;Menores de 15 años;22
Total Nacional;;Ambos sexos;De 15 a 29 años;316
Total Nacional;;Ambos sexos;De 30 a 39 años;414
Total Nacional;;Ambos sexos;De 40 a 44 años;355
Total Nacional;;Ambos sexos;De 45 a 49 años;438
Total Nacional;;Ambos sexos;De 50 a 54 años;460
Total Nacional;;Ambos sexos;De 55 a 59 años;407
Total Nacional;;Ambos sexos;De 60 a 64 años;356
Total Nacional;;Ambos sexos;De 65 a 69 años;236
Total Nacional;;Ambos sexos;De 70 a 74 años;218
Total Nacional;;Ambos sexos;De 75 a 79 años;262
Total Nacional;;Ambos sexos;De 80 a 84 años;227
Total Nacional;;Ambos sexos;De 85 a 89 años;182
Total Nacional;;Ambos sexos;De 90 a 94 años;89
Total Nacional;;Ambos sexos;De 95 años y más;21
Total Nacional;;Hombres;Todas las edades;2.982
Total Nacional;;Hombres;Menores de 15 años;14
Total Nacional;;Hombres;De 15 a 29 años;237
Total Nacional;;Hombres;De 30 a 39 años;315
Total Nacional;;Hombres;De 40 a 44 años;281
Total Nacional;;Hombres;De 45 a 49 años;318
Total Nacional;;Hombres;De 50 a 54 años;323
Total Nacional;;Hombres;De 55 a 59 años;305
Total Nacional;;Hombres;De 60 a 64 años;268
Total Nacional;;Hombres;De 65 a 69 años;161
Total Nacional;;Hombres;De 70 a 74 años;162
Total Nacional;;Hombres;De 75 a 79 años;197
Total Nacional;;Hombres;De 80 a 84 años;168
Total Nacional;;Hombres;De 85 a 89 años;141
Total Nacional;;Hombres;De 90 a 94 años;74
Total Nacional;;Hombres;De 95 años y más;18
Total Nacional;;Mujeres;Todas las edades;1.021
Total Nacional;;Mujeres;Menores de 15 años;8
Total Nacional;;Mujeres;De 15 a 29 años;79
Total Nacional;;Mujeres;De 30 a 39 años;99
Total Nacional;;Mujeres;De 40 a 44 años;74
Total Nacional;;Mujeres;De 45 a 49 años;120
Total Nacional;;Mujeres;De 50 a 54 años;137
Total Nacional;;Mujeres;De 55 a 59 años;102
Total Nacional;;Mujeres;De 60 a 64 años;88
Total Nacional;;Mujeres;De 65 a 69 años;75
Total Nacional;;Mujeres;De 70 a 74 años;56
Total Nacional;;Mujeres;De 75 a 79 años;65
Total Nacional;;Mujeres;De 80 a 84 años;59
Total Nacional;;Mujeres;De 85 a 89 años;41
Total Nacional;;Mujeres;De 90 a 94 años;15
Total Nacional;;Mujeres;De 95 años y más;3
Total Nacional;01 Andalucía;Ambos sexos;Todas las edades;849
Total Nacional;01 Andalucía;Ambos sexos;Menores de 15 años;2
Total Nacional;01 Andalucía;Ambos sexos;De 15 a 29 años;59
Total Nacional;01 Andalucía;Ambos sexos;De 30 a 39 años;91
Total Nacional;01 Andalucía;Ambos sexos;De 40 a 44 años;79
Total Nacional;01 Andalucía;Ambos sexos;De 45 a 49 años;100
Total Nacional;01 Andalucía;Ambos sexos;De 50 a 54 años;99
Total Nacional;01 Andalucía;Ambos sexos;De 55 a 59 años;80
Total Nacional;01 Andalucía;Ambos sexos;De 60 a 64 años;79
Total Nacional;01 Andalucía;Ambos sexos;De 65 a 69 años;46
Total Nacional;01 Andalucía;Ambos sexos;De 70 a 74 años;47
Total Nacional;01 Andalucía;Ambos sexos;De 75 a 79 años;62
Total Nacional;01 Andalucía;Ambos sexos;De 80 a 84 años;61
Total Nacional;01 Andalucía;Ambos sexos;De 85 a 89 años;28
Total Nacional;01 Andalucía;Ambos sexos;De 90 a 94 años;14
Total Nacional;01 Andalucía;Ambos sexos;De 95 años y más;2
Total Nacional;01 Andalucía;Hombres;Todas las edades;661
Total Nacional;01 Andalucía;Hombres;Menores de 15 años;1
Total Nacional;01 Andalucía;Hombres;De 15 a 29 años;45
Total Nacional;01 Andalucía;Hombres;De 30 a 39 años;71
Total Nacional;01 Andalucía;Hombres;De 40 a 44 años;64
Total Nacional;01 Andalucía;Hombres;De 45 a 49 años;77
Total Nacional;01 Andalucía;Hombres;De 50 a 54 años;71
Total Nacional;01 Andalucía;Hombres;De 55 a 59 años;62
Total Nacional;01 Andalucía;Hombres;De 60 a 64 años;63
Total Nacional;01 Andalucía;Hombres;De 65 a 69 años;33
Total Nacional;01 Andalucía;Hombres;De 70 a 74 años;36
Total Nacional;01 Andalucía;Hombres;De 75 a 79 años;51
Total Nacional;01 Andalucía;Hombres;De 80 a 84 años;48
Total Nacional;01 Andalucía;Hombres;De 85 a 89 años;26
Total Nacional;01 Andalucía;Hombres;De 90 a 94 años;11
Total Nacional;01 Andalucía;Hombres;De 95 años y más;2
Total Nacional;01 Andalucía;Mujeres;Todas las edades;188
Total Nacional;01 Andalucía;Mujeres;Menores de 15 años;1
Total Nacional;01 Andalucía;Mujeres;De 15 a 29 años;14
Total Nacional;01 Andalucía;Mujeres;De 30 a 39 años;20
Total Nacional;01 Andalucía;Mujeres;De 40 a 44 años;15
Total Nacional;01 Andalucía;Mujeres;De 45 a 49 años;23
Total Nacional;01 Andalucía;Mujeres;De 50 a 54 años;28
Total Nacional;01 Andalucía;Mujeres;De 55 a 59 años;18
Total Nacional;01 Andalucía;Mujeres;De 60 a 64 años;16
Total Nacional;01 Andalucía;Mujeres;De 65 a 69 años;13
Total Nacional;01 Andalucía;Mujeres;De 70 a 74 años;11
Total Nacional;01 Andalucía;Mujeres;De 75 a 79 años;11
Total Nacional;01 Andalucía;Mujeres;De 80 a 84 años;13
Total Nacional;01 Andalucía;Mujeres;De 85 a 89 años;2
Total Nacional;01 Andalucía;Mujeres;De 90 a 94 años;3
Total Nacional;01 Andalucía;Mujeres;De 95 años y más;0
Total Nacional;02 Aragón;Ambos sexos;Todas las edades;114
Total Nacional;02 Aragón;Ambos sexos;Menores de 15 años;1
Total Nacional;02 Aragón;Ambos sexos;De 15 a 29 años;13
Total Nacional;02 Aragón;Ambos sexos;De 30 a 39 años;12
Total Nacional;02 Aragón;Ambos sexos;De 40 a 44 años;8
Total Nacional;02 Aragón;Ambos sexos;De 45 a 49 años;12
Total Nacional;02 Aragón;Ambos sexos;De 50 a 54 años;12
Total Nacional;02 Aragón;Ambos sexos;De 55 a 59 años;14
Total Nacional;02 Aragón;Ambos sexos;De 60 a 64 años;7
Total Nacional;02 Aragón;Ambos sexos;De 65 a 69 años;6
Total Nacional;02 Aragón;Ambos sexos;De 70 a 74 años;4
Total Nacional;02 Aragón;Ambos sexos;De 75 a 79 años;9
Total Nacional;02 Aragón;Ambos sexos;De 80 a 84 años;6
Total Nacional;02 Aragón;Ambos sexos;De 85 a 89 años;5
Total Nacional;02 Aragón;Ambos sexos;De 90 a 94 años;3
Total Nacional;02 Aragón;Ambos sexos;De 95 años y más;2
Total Nacional;02 Aragón;Hombres;Todas las edades;87
Total Nacional;02 Aragón;Hombres;Menores de 15 años;1
Total Nacional;02 Aragón;Hombres;De 15 a 29 años;11
Total Nacional;02 Aragón;Hombres;De 30 a 39 años;11
Total Nacional;02 Aragón;Hombres;De 40 a 44 años;5
Total Nacional;02 Aragón;Hombres;De 45 a 49 años;9
Total Nacional;02 Aragón;Hombres;De 50 a 54 años;7
Total Nacional;02 Aragón;Hombres;De 55 a 59 años;10
Total Nacional;02 Aragón;Hombres;De 60 a 64 años;6
Total Nacional;02 Aragón;Hombres;De 65 a 69 años;4
Total Nacional;02 Aragón;Hombres;De 70 a 74 años;3
Total Nacional;02 Aragón;Hombres;De 75 a 79 años;8
Total Nacional;02 Aragón;Hombres;De 80 a 84 años;3
Total Nacional;02 Aragón;Hombres;De 85 a 89 años;5
Total Nacional;02 Aragón;Hombres;De 90 a 94 años;2
Total Nacional;02 Aragón;Hombres;De 95 años y más;2
Total Nacional;02 Aragón;Mujeres;Todas las edades;27
Total Nacional;02 Aragón;Mujeres;Menores de 15 años;0
Total Nacional;02 Aragón;Mujeres;De 15 a 29 años;2
Total Nacional;02 Aragón;Mujeres;De 30 a 39 años;1
Total Nacional;02 Aragón;Mujeres;De 40 a 44 años;3
Total Nacional;02 Aragón;Mujeres;De 45 a 49 años;3
Total Nacional;02 Aragón;Mujeres;De 50 a 54 años;5
Total Nacional;02 Aragón;Mujeres;De 55 a 59 años;4
Total Nacional;02 Aragón;Mujeres;De 60 a 64 años;1
Total Nacional;02 Aragón;Mujeres;De 65 a 69 años;2
Total Nacional;02 Aragón;Mujeres;De 70 a 74 años;1
Total Nacional;02 Aragón;Mujeres;De 75 a 79 años;1
Total Nacional;02 Aragón;Mujeres;De 80 a 84 años;3
Total Nacional;02 Aragón;Mujeres;De 85 a 89 años;0
Total Nacional;02 Aragón;Mujeres;De 90 a 94 años;1
Total Nacional;02 Aragón;Mujeres;De 95 años y más;0
